"r","K_observed","K_expected","L"
1008,NA,3192059.19797706,NA
1009,NA,3198395.79035935,NA
1010,NA,3204738.66592695,NA
1011,NA,3211087.82467985,NA
1012,NA,3217443.26661807,NA
1013,NA,3223804.99174158,NA
1014,NA,3230173.00005041,NA
1015,NA,3236547.29154454,NA
1016,NA,3242927.86622399,NA
1017,NA,3249314.72408873,NA
1018,NA,3255707.86513879,NA
1019,NA,3262107.28937415,NA
1020,NA,3268512.99679482,NA
1021,NA,3274924.9874008,NA
1022,NA,3281343.26119208,NA
1023,NA,3287767.81816867,NA
1024,NA,3294198.65833057,NA
1025,NA,3300635.78167778,NA
1026,NA,3307079.18821029,NA
1027,NA,3313528.87792811,NA
1028,NA,3319984.85083124,NA
1029,NA,3326447.10691967,NA
1030,NA,3332915.64619341,NA
1031,NA,3339390.46865246,NA
1032,NA,3345871.57429682,NA
1033,NA,3352358.96312648,NA
1034,NA,3358852.63514145,NA
1035,NA,3365352.59034173,NA
1036,NA,3371858.82872731,NA
1037,NA,3378371.3502982,NA
1038,NA,3384890.1550544,NA
1039,NA,3391415.24299591,NA
1040,NA,3397946.61412272,NA
1041,NA,3404484.26843484,NA
1042,NA,3411028.20593227,NA
1043,NA,3417578.426615,NA
1044,NA,3424134.93048304,NA
1045,NA,3430697.71753639,NA
1046,NA,3437266.78777505,NA
1047,NA,3443842.14119901,NA
1048,NA,3450423.77780828,NA
1049,NA,3457011.69760286,NA
1050,NA,3463605.90058275,NA
1051,NA,3470206.38674794,NA
1052,NA,3476813.15609844,NA
1053,NA,3483426.20863424,NA
1054,NA,3490045.54435536,NA
1055,NA,3496671.16326178,NA
1056,NA,3503303.06535351,NA
1057,NA,3509941.25063054,NA
1058,NA,3516585.71909289,NA
1059,NA,3523236.47074053,NA
1060,NA,3529893.50557349,NA
1061,NA,3536556.82359176,NA
1062,NA,3543226.42479533,NA
1063,NA,3549902.3091842,NA
1064,NA,3556584.47675839,NA
1065,NA,3563272.92751788,NA
1066,NA,3569967.66146268,NA
1067,NA,3576668.67859279,NA
1068,NA,3583375.9789082,NA
