"id","n_local","converged","note","neighbours_at_radius"
1381,413,TRUE,"",413
1382,752,TRUE,"",752
1383,581,TRUE,"",581
1384,658,TRUE,"",658
1385,765,TRUE,"",765
1386,424,TRUE,"",424
1387,603,TRUE,"",603
1388,746,TRUE,"",746
1389,334,TRUE,"",334
1390,632,TRUE,"",632
1391,662,TRUE,"",662
1392,423,TRUE,"",423
1393,607,TRUE,"",607
1394,767,TRUE,"",767
1395,537,TRUE,"",537
1396,719,TRUE,"",719
1397,589,TRUE,"",589
1398,703,TRUE,"",703
1399,749,TRUE,"",749
1400,541,TRUE,"",541
1401,759,TRUE,"",759
1402,737,TRUE,"",737
1403,764,TRUE,"",764
1404,363,TRUE,"",363
1405,589,TRUE,"",589
1406,739,TRUE,"",739
1407,731,TRUE,"",731
1408,483,TRUE,"",483
1409,455,TRUE,"",455
1410,717,TRUE,"",717
1411,758,TRUE,"",758
1412,692,TRUE,"",692
1413,486,TRUE,"",486
1414,648,FALSE,"not converged",648
1415,419,TRUE,"",419
1416,597,TRUE,"",597
1417,598,TRUE,"",598
1418,755,TRUE,"",755
1419,538,TRUE,"",538
1420,755,TRUE,"",755
1421,514,TRUE,"",514
1422,326,TRUE,"",326
1423,231,TRUE,"",231
1424,588,TRUE,"",588
1425,216,TRUE,"",216
1426,750,TRUE,"",750
1427,742,TRUE,"",742
1428,648,TRUE,"",648
1429,635,TRUE,"",635
1430,710,TRUE,"",710
1431,425,TRUE,"",425
1432,509,TRUE,"",509
1433,429,TRUE,"",429
1434,544,TRUE,"",544
1435,237,TRUE,"",237
1436,595,TRUE,"",595
1437,664,TRUE,"",664
1438,368,TRUE,"",368
1439,593,TRUE,"",593
1440,645,TRUE,"",645
1441,312,TRUE,"",312
1442,488,TRUE,"",488
1443,503,TRUE,"",503
1444,702,TRUE,"",702
1445,372,TRUE,"",372
1446,678,TRUE,"",678
1447,327,TRUE,"",327
1448,539,TRUE,"",539
1449,395,TRUE,"",395
1450,244,TRUE,"",244
1451,723,TRUE,"",723
1452,719,TRUE,"",719
1453,642,TRUE,"",642
1454,534,TRUE,"",534
1455,735,TRUE,"",735
1456,567,TRUE,"",567
1457,490,TRUE,"",490
1458,328,TRUE,"",328
1459,446,TRUE,"",446
1460,296,TRUE,"",296
1461,712,TRUE,"",712
1462,312,TRUE,"",312
1463,666,TRUE,"",666
1464,374,TRUE,"",374
1465,625,TRUE,"",625
1466,724,TRUE,"",724
1467,502,TRUE,"",502
1468,497,TRUE,"",497
1469,726,TRUE,"",726
1470,600,TRUE,"",600
1471,733,TRUE,"",733
1472,618,TRUE,"",618
1473,499,TRUE,"",499
1474,435,TRUE,"",435
1475,730,TRUE,"",730
1476,325,TRUE,"",325
1477,733,TRUE,"",733
1478,500,TRUE,"",500
1479,631,TRUE,"",631
1480,500,TRUE,"",500
1481,569,TRUE,"",569
1482,655,TRUE,"",655
1483,357,TRUE,"",357
1484,483,TRUE,"",483
1485,539,TRUE,"",539
1486,611,TRUE,"",611
1487,609,TRUE,"",609
1488,678,TRUE,"",678
1489,718,TRUE,"",718
1490,611,FALSE,"not converged",611
1491,623,TRUE,"",623
1492,253,TRUE,"",253
1493,729,TRUE,"",729
1494,674,TRUE,"",674
1495,388,TRUE,"",388
1496,487,TRUE,"",487
1497,455,TRUE,"",455
1498,460,TRUE,"",460
1499,611,TRUE,"",611
1500,594,TRUE,"",594
1501,623,TRUE,"",623
1502,721,TRUE,"",721
1503,659,TRUE,"",659
1504,662,TRUE,"",662
1505,359,TRUE,"",359
1506,380,TRUE,"",380
1507,373,TRUE,"",373
1508,290,TRUE,"",290
1509,415,TRUE,"",415
1510,581,TRUE,"",581
1511,620,TRUE,"",620
1512,668,TRUE,"",668
1513,469,TRUE,"",469
1514,541,TRUE,"",541
1515,329,TRUE,"",329
1516,629,TRUE,"",629
1517,588,FALSE,"not converged",588
1518,350,TRUE,"",350
1519,687,TRUE,"",687
1520,686,TRUE,"",686
1521,697,TRUE,"",697
1522,316,TRUE,"",316
1523,542,TRUE,"",542
1524,685,TRUE,"",685
1525,640,TRUE,"",640
1526,515,TRUE,"",515
1527,574,TRUE,"",574
1528,586,TRUE,"",586
1529,235,TRUE,"",235
1530,548,TRUE,"",548
1531,653,TRUE,"",653
1532,238,TRUE,"",238
1533,262,TRUE,"",262
1534,666,TRUE,"",666
1535,578,TRUE,"",578
1536,554,TRUE,"",554
1537,704,TRUE,"",704
1538,335,TRUE,"",335
1539,691,TRUE,"",691
1540,400,TRUE,"",400
1541,679,TRUE,"",679
1542,680,TRUE,"",680
1543,622,TRUE,"",622
1544,553,TRUE,"",553
1545,630,TRUE,"",630
1546,565,FALSE,"not converged",565
1547,637,TRUE,"",637
1548,553,TRUE,"",553
1549,667,TRUE,"",667
1550,295,TRUE,"",295
1551,660,TRUE,"",660
1552,601,TRUE,"",601
1553,603,TRUE,"",603
1554,676,TRUE,"",676
1555,630,TRUE,"",630
1556,391,TRUE,"",391
1557,658,TRUE,"",658
1558,236,TRUE,"",236
1559,628,TRUE,"",628
1560,565,TRUE,"",565
1561,331,TRUE,"",331
1562,365,TRUE,"",365
1563,561,TRUE,"",561
1564,521,TRUE,"",521
1565,370,TRUE,"",370
1566,451,TRUE,"",451
1567,418,TRUE,"",418
1568,683,TRUE,"",683
1569,653,TRUE,"",653
1570,581,TRUE,"",581
1571,671,TRUE,"",671
1572,657,TRUE,"",657
1573,631,TRUE,"",631
1574,646,TRUE,"",646
1575,404,TRUE,"",404
1576,554,TRUE,"",554
1577,291,TRUE,"",291
1578,624,TRUE,"",624
1579,671,TRUE,"",671
1580,635,TRUE,"",635
1581,657,TRUE,"",657
1582,322,TRUE,"",322
1583,563,TRUE,"",563
1584,317,TRUE,"",317
1585,543,TRUE,"",543
1586,477,TRUE,"",477
1587,646,TRUE,"",646
1588,339,TRUE,"",339
1589,541,TRUE,"",541
1590,665,TRUE,"",665
1591,458,TRUE,"",458
1592,462,TRUE,"",462
1593,601,TRUE,"",601
1594,528,TRUE,"",528
1595,596,TRUE,"",596
1596,490,TRUE,"",490
1597,599,TRUE,"",599
1598,647,TRUE,"",647
1599,386,TRUE,"",386
1600,518,FALSE,"not converged",518
1601,565,TRUE,"",565
1602,396,TRUE,"",396
1603,230,TRUE,"",230
1604,307,TRUE,"",307
1605,413,TRUE,"",413
1606,361,TRUE,"",361
1607,559,TRUE,"",559
1608,355,TRUE,"",355
1609,294,TRUE,"",294
1610,231,TRUE,"",231
1611,319,TRUE,"",319
