lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
116.83249,-34.988663,37.71,-0.423458282,15.5831629,210.6614218,1.08614931,7.743924562,1.260521892,4.300946279,0.249954239,0.094753549,4.95338381,14.15720775,85.99399085,7.565685295,47.53158896,42.82421384,0.289409919,0.051712298,0.024531525,97.10606061,10793.36038
117.33249,-21.488663,10.5,-6.568123223,27.44475798,269.4161019,0.323754916,6.246402372,1.466251363,0.702440444,0.118718807,0.134762194,6.200812864,4.5189,72.93606389,17.25541111,300.6401116,44.57361783,0.327963776,-0.049130677,-0.03647234,296.19,4168.349955
117.33249,-21.988663,22.95,3.343944104,25.9288053,268.1425992,0.553403221,6.164706906,1.413031348,0.738630777,0.139475389,0.144877694,5.7877645,6.758911111,76.0344,14.89550278,342.4335679,89.20642836,0.474310382,-0.000767605,0.018579963,518.18,4442.361196
117.33249,-22.988663,4.806662044,-14.00875804,26.48643642,268.7684408,0.451108412,5.88643283,1.468712304,0.62717811,0.115979084,0.125910305,6.055377833,5.254688889,75.09569722,15.3383,167.9572004,110.3836622,0.483485318,-0.083940421,-0.008776023,426.12,3224.653514
117.33249,-29.488663,27.67,6.121228297,20.84470979,255.5299463,0.503775903,6.894264915,1.436468645,0.934229004,0.067863669,0.111877304,5.349306789,7.43528378,79.56333657,12.42889205,445.0395816,23.63498714,0.195518733,0.014516994,0.076222346,339.71,2858.214738
117.33249,-31.988663,47.34,17.66771073,17.74551169,241.7766836,0.84356221,6.766599014,1.469016482,1.411126442,0.095465335,0.083617621,5.30689137,6.174545841,87.68468879,7.387213196,68.24805074,15.97164956,0.212534245,-0.098671171,-0.028399329,272.26,3834.135297
117.33249,-34.988663,40.56,3.557565481,15.52086833,209.4608962,1.081356283,7.683611812,1.279843312,4.306338253,0.259782426,0.098947159,4.825312791,15.2705842,84.8910584,8.548743235,52.07371896,34.10505043,0.323500981,0.115652136,0.121141961,94.84745763,9499.472373
117.83249,-20.988663,27.24,7.004281851,27.70302118,269.5857841,0.378384642,6.146923429,1.474066524,0.529705755,0.164742545,0.172574813,6.237377203,1.718882153,76.35277267,14.72184959,137.4144866,31.2848494,0.173749853,0.030497932,-0.019917469,68.08181818,3517.62024
117.83249,-23.488663,36.33,20.44578356,26.83378981,268.2786921,0.403404637,6.069445302,1.45883527,0.490152111,0.105078861,0.1214475,6.139363166,6.352063889,75.07952222,15.17020556,152.2006885,78.14287875,0.34236768,-0.013933615,0.027022179,389.91,2947.691857
117.83249,-26.988663,38.44,16.02719242,22.82184852,263.7683283,0.158116611,6.928223385,1.51311557,0.608700998,0.044080277,0.128743109,5.423820531,6.863536111,78.755475,13.30783056,192.1578382,46.58944182,0.155832925,0.091727222,-0.03469883,488.44,2325.803469
117.83249,-30.488663,39.24,13.56062643,19.32701173,251.3645848,0.738442357,6.937135332,1.459223237,1.043684581,0.096096354,0.090504966,5.5338604,6.023644975,83.78976219,10.07432231,148.4137496,13.46916842,0.230968426,0.062592866,0.060733075,383.8,3285.84344
117.83249,-30.988663,32.29,6.547169538,18.90256476,248.3358665,0.721897373,6.835203548,1.45843017,1.08246708,0.100731364,0.086711047,5.735061015,6.191672399,84.57063571,9.493681355,89.57768975,6.56756264,0.242761081,0.089250005,-0.062789574,332.99,3355.121478
117.83249,-31.488663,46.85,20.6875048,18.40720964,244.8777781,0.779784847,6.798996713,1.456533643,1.240749829,0.092096904,0.087788148,5.63623977,6.354854809,84.91260587,9.090301472,90.80506668,9.70407851,0.233109109,0.042074932,0.005707349,302.35,3420.555922
117.83249,-31.988663,45.73,17.86665358,17.77894728,242.2513816,0.707202958,6.810745335,1.465888505,1.346909888,0.103919501,0.095077197,5.418015098,6.002989482,86.39588099,8.205210972,92.13964314,12.78771976,0.231472559,0.080310312,0.093816288,295.25,3665.435277
117.83249,-33.488663,16.33,-13.16547701,15.80374004,232.0159965,0.71436275,7.055870451,1.433187092,1.671780137,0.102834844,0.143786241,5.33660471,8.255361287,85.27130821,9.162374712,70.95809094,12.71736124,0.185202939,0.008841799,0.089057846,303.26,4152.229936
117.83249,-34.988663,39.67,2.054762161,15.56814986,209.1182426,1.025163913,7.682662257,1.292507449,4.089877927,0.228779879,0.121623629,4.704246607,12.95266942,88.0860958,7.193186747,43.24308703,32.65180988,0.251937581,-0.129697745,-0.068391357,77.13846154,8557.110229
118.33249,-20.488663,8.070034351,-16.44183106,27.27880587,267.2035293,1.277758185,6.030948431,1.481037183,0.63571189,0.163340285,0.174084307,5.944589429,1.120742979,81.93770405,10.34988671,66.83057615,10.26299278,0.073024262,0.048607366,-0.057985254,25.5,3113.898327
118.33249,-20.988663,8.784215245,-10.21938366,27.93957442,268.8623649,0.34114334,6.084150332,1.483767836,0.481568471,0.154598113,0.164456974,6.1422405,2.207513889,79.13054167,12.5741,229.7514807,29.13478604,0.143227922,0.082568642,0.041390908,96.51239669,3854.970363
118.33249,-29.488663,8.205464849,-13.60302158,20.96741505,255.20806,0.416922485,7.051283845,1.443933763,0.828648914,0.043515191,0.142430268,5.080586393,6.149450488,80.5545935,11.85089669,566.6324306,26.32930156,0.194315803,-0.086545906,-0.003398465,372.0181818,3199.880086
118.33249,-30.488663,29.55,4.489397074,19.30973064,250.6354094,0.669262478,6.986736727,1.434899849,1.119345573,0.100741716,0.103313497,5.556133787,5.870506655,83.61705408,10.02888187,197.2180339,20.63076087,0.230949768,-0.006046174,-0.027358071,424.8429752,3373.299572
118.33249,-31.988663,36.2,10.14574841,17.81060982,242.8265674,0.919457466,6.892178128,1.448721,1.236570235,0.085559595,0.084043896,5.715969169,6.733298418,84.98936997,9.052857656,64.9961885,7.25322841,0.184525134,0.110013317,0.029122833,313.2272727,3643.404279
118.33249,-32.488663,41.58,14.57452012,17.15141072,239.3264611,1.026759176,6.904933912,1.449386097,1.267128709,0.094003996,0.105356138,5.712627612,7.446046603,84.32032533,9.450546484,73.3114277,7.492027731,0.172599677,0.151061122,-0.084142809,304.1404959,3715.389209
