"Lon","Lat","Zn","Elevation","Slope","Aspect","Water","NDVI","SOC","pH","Road","Mine"
120.3333,-28.2353,18,414.732,0.1782,169.3576,3.7583,0.1996,0.926876428,5.860768724,12.511,22.6256
120.3345,-28.3264,14,407.8314,0.1493,19.1806,1.2927,0.1867,0.937496966,5.7178273,18.5896,29.961
120.3355,-28.1527,12,454.8995,0.272,144.3281,0.3109,0.1876,0.875139421,5.813897698,11.9483,17.1123
120.3372,-27.4964,12,484.4703,0.215,34.709,3.0543,0.202,0.933277916,5.558823264,21.1956,21.7404
120.3373,-27.9507,46.5,523.1243,0.4389,26.9882,3.2143,0.1896,0.903083745,5.546497584,2.2999,3.7241
120.3377,-28.1307,18,462.6432,0.2937,132.6771,0.184,0.1864,0.862843347,5.763712563,12.4304,16.0343
120.3378,-28.0666,10,476.4715,0.1976,133.6697,0.2134,0.2098,0.868316347,5.929501954,10.4818,11.0397
120.3386,-28.3785,16,427.6239,0.3294,309.5963,0.0835,0.1927,0.952956047,5.846231801,22.9519,34.5198
120.3423,-28.2831,20,405.1176,0.0419,83.6176,0,0.146,0.87027375,5.95848137,14.4738,25.6909
120.3458,-27.4021,54,477.0405,0.0437,276.7197,0,0.1592,0.884488385,6.022033331,11.3763,18.3022
120.3498,-27.9934,46,530.0243,0.6976,150.6439,0.732,0.1812,0.839700925,5.294136781,2.5856,5.0273
120.3514,-28.0793,20,469.9248,0.1779,127.6432,1.3727,0.2106,0.88594466,5.866854731,12.0579,12.8595
120.3527,-27.8863,11,503.5628,0.3999,49.2229,3.6476,0.1862,0.880250242,5.563347036,8.8547,10.0953
120.3532,-28.3471,26,422.7441,0.411,310.4715,0.0521,0.1781,0.962130105,5.734461782,19.3335,30.6976
120.3552,-28.4611,20,438.4187,0.1763,49.5303,1.4679,0.2042,0.929560506,5.987628417,16.4675,41.954
120.3558,-27.6367,23,495.8483,0.2403,108.0442,1.4684,0.1874,0.899041958,5.905659876,20.8575,21.6881
120.3573,-27.5955,27,499.9285,0.2199,85.5488,1.2038,0.1908,0.873577325,5.929777301,19.5804,20.4683
120.3589,-28.3001,24,404.2887,0.063,85.5585,0,0.1322,0.908229279,6.052998937,14.6229,26.0043
120.3602,-27.8269,21,495.9932,0.1725,86.4832,0.1263,0.1923,0.850718744,5.837601858,15.2921,15.6636
120.3611,-27.4173,33,476.1789,0.0883,207.6444,0,0.1506,0.930159796,5.868867515,12.9251,17.2512
120.362,-27.3,15,500.0814,0.2666,233.5362,0.6125,0.1798,0.833413062,6.024841825,0.0965,16.0029
120.3639,-28.4068,30,426.3489,0.1834,111.5821,0.0557,0.1923,0.923853614,5.925291664,18.7696,36.0282
120.3658,-27.7902,10,489.889,0.3038,344.8828,0.1027,0.167,0.914501974,5.732155523,18.0453,19.4054
120.3659,-27.7035,12,479.0158,0.1796,177.0374,2.301,0.1705,0.96706184,5.648978929,19.4188,18.6348
120.3661,-27.4585,22,476.1368,0.0528,126.6223,0,0.1446,0.925700468,5.874952114,17.4986,17.4629
120.3663,-27.7339,3,477.317,0.206,68.3428,3.698,0.1635,0.909843996,5.637718825,18.8891,18.5963
120.3668,-27.5644,33,495.1558,0.1848,91.1759,3.5577,0.1907,0.86057111,5.863502961,17.7681,19.2199
120.368,-28.2849,14,403.8089,0.032,167.3419,0.0945,0.1459,0.923371659,5.850117135,12.6647,24.0401
120.3682,-27.5141,27,484.514,0.2252,43.2056,3.3845,0.1874,0.912261194,5.64130203,17.4801,18.6881
120.3693,-27.6763,30,485.5013,0.1859,151.9122,0.0811,0.1584,0.914434228,5.842243447,19.4958,18.7864
120.3715,-27.3405,17,495.404,0.243,249.3678,3.3941,0.1744,0.839858018,6.124134896,4.4735,14.2181
120.3724,-27.7631,7,479.1335,0.2095,46.4788,1.8308,0.1562,0.894682996,5.685475652,17.7598,18.5027
120.3732,-27.9948,8,511.2015,0.813,189.2817,0.2153,0.1618,0.822372348,5.405699494,3.3658,4.3972
120.3735,-28.0024,53.3333,511.2015,0.813,189.2817,0.0878,0.1618,0.822372348,5.405699494,4.1784,5.0483
120.3745,-28.237,22,413.5896,0.1336,197.9195,0.8753,0.2017,0.961594054,5.805792094,8.4954,19.5057
120.3748,-28.0141,12,493.6258,0.4323,189.8005,0.2176,0.1925,0.878148064,5.686720962,5.4549,6.1048
120.375,-28.3849,34,424.017,0.3344,86.5322,0.0464,0.1887,0.966559321,5.701592387,19.5818,33.3081
120.3759,-27.9964,21,511.2015,0.813,189.2817,0.3685,0.1618,0.822372348,5.405699494,3.5819,4.3447
120.3765,-28.209,28,424.7428,0.1864,173.6044,0.319,0.2134,0.959037829,5.798566379,7.0691,17.2337
120.3772,-27.9197,7,494.5528,0.2165,73.8352,6.4055,0.1921,0.943873768,5.599011967,4.922,5.5354
120.3773,-27.9932,78,531.0361,0.4766,198.5244,0.3063,0.1848,0.902347939,5.294897762,3.2319,3.9688
120.379,-27.994,32,511.8912,0.7376,190.7278,0.1287,0.1598,0.790715839,5.411606486,3.3277,3.9351
120.3793,-28.1261,22,451.0079,0.1908,165.6577,2.137,0.2111,0.904279944,5.865015308,8.5698,11.4853
120.3797,-27.9948,36,511.8912,0.7376,190.7278,0.0795,0.1598,0.790715839,5.411606486,3.4183,3.9692
120.3801,-27.4106,28,479.1976,0.1393,213.0247,0.0757,0.1906,0.863434025,5.821161852,12.3133,15.1008
120.3825,-28.047,24,478.3767,0.2897,168.7805,2.6306,0.2025,0.891479055,5.774204125,9.1883,9.3117
120.3827,-27.9933,8,530.6248,0.5279,176.8179,0.184,0.1748,0.887195695,5.349019852,3.2583,3.6519
120.3828,-27.9911,14,530.6248,0.5279,176.8179,0.171,0.1748,0.887195695,5.349019852,3.0061,3.4319
120.3842,-28.013,18,495.4315,0.4758,182.9933,0.244,0.1724,0.845658847,5.648641581,5.4441,5.6045
120.3844,-27.989,36.6667,530.6248,0.5279,176.8179,0.2371,0.1748,0.887195695,5.349019852,2.7828,3.1409
120.3854,-27.5921,25,490.2353,0.2079,92.2054,4.3423,0.1898,0.872238742,5.891972992,16.4605,17.3233
120.3861,-28.1783,16,433.1679,0.2096,151.7259,1.7459,0.1932,0.920077653,5.885176769,5.9453,14.0139
120.3883,-27.9885,39,530.2221,0.4533,174.0115,0.4254,0.1736,0.810266456,5.423019076,2.7342,2.8855
120.3893,-28.4118,26,422.3645,0.1624,50.2651,2.1701,0.2097,0.891839012,5.968959788,16.3182,35.4944
120.3896,-27.9959,14,515.3164,0.7989,186.7035,0.2423,0.1604,0.777738227,5.446497713,3.5623,3.6135
120.3908,-28.0956,28,458.0574,0.176,140.7248,3.9918,0.2021,0.888733392,5.887918446,8.2283,9.5116
120.3919,-28.3439,18,411.46,0.2548,19.0656,2.5493,0.1893,0.969642778,5.627028435,16.8782,28.381
120.3933,-27.9857,7,530.2221,0.4533,174.0115,0.0052,0.1736,0.810266456,5.423019076,2.4422,2.4134
120.3934,-27.9948,81,515.3164,0.7989,186.7035,0.3845,0.1604,0.777738227,5.446497713,3.4523,3.3972
120.3939,-27.9987,14,515.3164,0.7989,186.7035,0.3589,0.1604,0.777738227,5.446497713,3.8865,3.8156
120.3941,-27.9984,43,515.3164,0.7989,186.7035,0.3239,0.1604,0.777738227,5.446497713,3.856,3.7817
120.3944,-28.45,22,430.402,0.1521,15.8084,1.8042,0.2054,0.951312423,5.918508227,13.1754,39.3464
120.3949,-27.9649,9,522.5239,0.3498,227.5209,2.2817,0.1847,0.933455235,5.527137412,0.141,0.4381
120.3963,-27.3618,17,498.1078,0.2451,249.3466,0.02,0.1766,0.835603774,6.056063732,7.1514,11.6595
120.3994,-27.8776,10,484.1672,0.1229,313.9023,5.8868,0.1941,0.899881459,5.645975047,9.5332,9.2027
120.4026,-27.7037,29,473.4156,0.1654,126.1422,0.0857,0.1835,0.914581965,5.576699724,15.3961,14.5888
120.4031,-27.4665,24,476.1275,0.0639,132.9325,0.6929,0.1868,0.855336139,5.716146996,14.2115,13.9003
120.4035,-27.5707,36,483.9453,0.1606,88.2539,5.8709,0.1863,0.948391612,5.736258864,13.9337,15.1355
120.4051,-28.3195,24,403.6239,0.1137,36.8572,0,0.1833,0.9308314,5.68367376,13.8168,25.3182
120.4067,-27.6541,32,476.7521,0.1313,87.2508,0.1482,0.1852,0.890899641,5.736493309,15.7023,15.7618
120.4078,-27.5393,20,478.4969,0.1864,63.7985,3.8013,0.2034,0.968400382,5.605717752,12.9371,15.0322
120.4087,-28.3784,26,412.4211,0.1377,50.513,2.3832,0.1927,0.917430877,5.796776158,17.9096,31.2882
120.4092,-27.8432,16,480.2433,0.0751,184.6623,3.7753,0.1989,0.880773181,5.867422345,12.3476,12.9958
120.4125,-27.667,27,477.8189,0.2033,85.136,0.5055,0.1511,0.885255472,5.730179947,14.906,14.5685
120.4139,-27.6668,27.5,477.8189,0.2033,85.136,0.5522,0.1511,0.885255472,5.730179947,14.7644,14.4437
120.4158,-27.9354,11,502.4528,0.2291,135.3495,3.7976,0.1842,0.926322429,5.64415088,3.0691,2.9438
120.4164,-28.027,22,481.944,0.2738,162.7009,0.1051,0.2011,0.888802732,5.81854335,7.0903,7.1854
120.4169,-28.0557,26,470.1959,0.2184,172.5782,2.5836,0.2045,0.932695033,5.795944052,6.6688,7.6157
120.4184,-27.7489,13,466.7929,0.0553,265.3166,0,0.1702,0.966878919,5.818569906,12.9291,13.1708
120.419,-27.6258,32,474.7081,0.1695,73.7038,3.5582,0.1844,0.951095823,5.68277928,13.7369,14.7968
