"GridID","Lon","Lat","Elevation","Slope","Aspect","Water","NDVI","SOC","pH","Road","Mine"
2095,120.761192225,-28.2772570075,478.4055684,0.443832197,207.7030978,0.34747555523,0.15577,0.835752151,5.596044388,3.87001896168,4.89245585546
2096,120.770201234,-28.2772570075,477.9887637,0.499696877,167.5827345,0.517123081494,0.16535,0.832576253,5.592479528,4.37402878463,4.8737416977
2097,120.779210243,-28.2772570075,474.9704779,0.512498253,151.6099028,0.457405148398,0.1723,0.817688571,5.561866276,4.70984647248,5.05673728505
2098,120.788219252,-28.2772570075,470.649367,0.468602609,139.7564218,0.694849550572,0.16518,0.834725844,5.597953073,5.1164920371,5.42105393814
2099,120.797228261,-28.2772570075,465.8244982,0.375312446,141.3855589,0.106732092037,0.16383,0.895950785,5.714967919,5.61494317544,5.93338517429
2100,120.80623727,-28.2772570075,463.3598938,0.254906508,170.9469097,0.0186880475066,0.16182,0.901080956,5.856824284,6.2347748896,6.55913816356
2101,120.815246279,-28.2772570075,464.1547399,0.172099144,206.5302211,0.879347336838,0.15087,0.875496614,5.959883004,6.9344639416,7.26908022152
2102,120.824255288,-28.2772570075,465.428851,0.152292468,159.1146462,1.24158993393,0.15229,0.884956521,5.872928457,7.644723959,8.04094279802
2103,120.833264297,-28.2772570075,463.1621249,0.225059114,95.54113432,0.615670019675,0.16925,0.908228316,5.758330161,8.35592373831,8.85855489858
2104,120.842273306,-28.2772570075,458.8784046,0.266460944,97.55746299,0.0406898975905,0.18091,0.91672403,5.730672468,8.99964599129,9.33040017497
2105,120.851282315,-28.2772570075,455.1821368,0.225683862,125.3662841,0.0513113271105,0.18303,0.930106142,5.689794819,8.86518953992,8.66827094968
2106,120.860291324,-28.2772570075,453.5294348,0.20067634,163.8218525,0.263730871262,0.17285,0.93562451,5.665499809,8.84248512495,8.07598136978
2107,120.869300333,-28.2772570075,453.6324287,0.210245726,191.1868038,0.221545495225,0.15866,0.928972237,5.748506595,8.93238494396,7.56994246404
2108,120.878309342,-28.2772570075,454.8057304,0.266095591,206.0282283,0.280363632663,0.15146,0.922666052,5.789483489,9.13156385212,7.168443536
2109,120.887318351,-28.2772570075,457.2934391,0.356393294,209.9355507,0.696494676342,0.14702,0.906208053,5.879300499,9.43310213978,6.88978494184
2110,120.89632736,-28.2772570075,460.1830886,0.379760919,213.0490716,0.0401732972795,0.15585,0.909568489,5.764151132,9.82758228506,6.74919923818
2111,120.905336369,-28.2772570075,463.512102,0.363614082,219.6080328,0.691748113622,0.16212,0.904573296,5.759500626,9.90996009111,6.75531229216
2112,120.914345378,-28.2772570075,467.2250807,0.344904925,202.6358096,0.923322110392,0.15751,0.8930125,5.822255249,8.97419115013,6.9077346481
2113,120.923354387,-28.2772570075,467.539047,0.326063324,161.7064153,0.0614315514731,0.14897,0.897410216,5.713457659,8.04192991437,7.19717665258
2114,120.932363396,-28.2772570075,464.3932271,0.296679575,138.8704581,0.0170967720276,0.15239,0.904925125,5.700031162,7.12805490245,7.25501008874
2115,120.941372405,-28.2772570075,461.6330467,0.247023321,156.5690648,0.227231602563,0.15692,0.916771533,5.714863169,6.24064873495,6.38017595366
2116,120.950381414,-28.2772570075,461.3517134,0.233396381,188.2902607,0.451020696185,0.15484,0.894411237,5.718308467,5.39279394837,5.54780307939
2117,120.959390423,-28.2772570075,462.6865704,0.294288526,201.4959868,0.487738662893,0.1465,0.868612348,5.729935496,4.60638214896,4.78012476946
2118,120.968399432,-28.2772570075,464.6151857,0.313463997,197.0026383,0.324503240249,0.1404,0.858263637,5.743046475,3.91858219652,4.11352240926
2119,120.977408441,-28.2772570075,465.4669386,0.255083625,182.0044657,0.634021129187,0.14782,0.921710316,5.811937585,3.38995816427,3.60451666766
2120,120.98641745,-28.2772570075,465.0332639,0.21196902,166.8016203,0.0203032925778,0.15355,0.930007522,5.829307683,3.10295766587,3.32626129451
2121,120.995426459,-28.2772570075,463.9918138,0.163134506,174.6171317,0.144861422427,0.15866,0.892522231,5.817301533,3.07482677956,3.33698786143
2122,121.004435468,-28.2772570075,464.1737795,0.14687727,225.5531669,0.32483557847,0.16955,0.876055577,5.753586679,3.07307152771,3.63413838086
2123,121.013444477,-28.2772570075,466.6313826,0.188577362,260.1433454,0.415227588923,0.1723,0.864007947,5.752054678,3.06981246313,4.15673375996
2124,121.022453486,-28.2772570075,469.8283033,0.229342554,260.9901338,3.12802975868e-06,0.16247,0.85345102,5.759691915,3.07259409498,3.68042697509
2125,121.031462495,-28.2772570075,473.5248415,0.262167575,258.7621619,0.21390209596,0.16577,0.857865511,5.691695155,3.06826895382,3.32646306179
2126,121.040471504,-28.2772570075,477.6469107,0.293026032,257.7244033,0.211326911437,0.1767,0.864758794,5.638916049,3.07097618388,3.25348586595
2127,121.049480513,-28.2772570075,485.0249682,0.315711534,256.0574872,0.199214838272,0.17974,0.859099827,5.562545264,3.07094280174,3.47922175988
2128,121.058489522,-28.2772570075,491.8339632,0.33738576,250.4831064,0.378631276865,0.16288,0.834436733,5.524393379,3.0701495674,2.62253767977
2129,121.067498531,-28.2772570075,496.7294957,0.372420317,243.2912638,0.239232090834,0.15676,0.823517228,5.521883676,3.07179028386,1.82572113352
2130,121.07650754,-28.2772570075,501.9223303,0.398924235,237.8592106,0.453074164556,0.15488,0.826213585,5.433654954,3.06706783554,1.3374645524
2131,121.085516549,-28.2772570075,507.0162775,0.433895934,232.0037816,0.515138315906,0.14981,0.83216753,5.38450959,2.9741692103,1.49812055473
2132,121.094525558,-28.2772570075,512.2962567,0.461006439,222.0544817,0.096992805692,0.15477,0.832454168,5.381835821,2.4131297625,2.16792964832
2133,121.103534567,-28.2772570075,516.3551535,0.495127676,216.0695268,0.139921572552,0.15722,0.848434764,5.510369987,1.6391179527,3.02580116987
2134,121.112543576,-28.2772570075,521.1766083,0.405102462,206.6552992,0.0535619016353,0.14417,0.854156229,5.662758728,0.887022275141,2.2055239801
2135,121.121552585,-28.2772570075,522.1467824,0.362306521,160.665372,0.361087594786,0.13323,0.87704703,5.777162962,0.158197173936,1.29888020617
2136,121.130561594,-28.2772570075,517.7552893,0.336230899,138.7636454,0.396899401157,0.13713,0.873181432,5.759873867,0.608956745838,0.714033296963
2137,121.139570603,-28.2772570075,515.4855766,0.293642221,189.222665,0.159767357764,0.14563,0.872335632,5.77698065,1.40047966999,1.15438178449
2138,121.148579612,-28.2772570075,518.9069235,0.413471072,236.1972399,0.382719866385,0.14868,0.869086273,5.745162532,2.24633902221,2.03846782058
2139,121.157588621,-28.2772570075,526.0935138,0.40378422,245.1589899,0.637505127476,0.16017,0.857160007,5.653880153,3.07676920466,2.88639544226
2140,121.16659763,-28.2772570075,529.9417204,0.287514876,163.4869139,0.285525792277,0.16013,0.848343307,5.691225996,2.33539053667,3.6962403052
2141,121.175606639,-28.2772570075,525.6182612,0.35634443,113.2496197,0.474239665875,0.15145,0.83949677,5.65423722,1.39019571218,3.65589596276
2142,121.184615648,-28.2772570075,520.1564149,0.29233035,142.9387706,0.550866027087,0.15278,0.874543037,5.65775884,0.447348985723,3.51570320669
2143,121.193624657,-28.2772570075,519.8447938,0.250430548,192.7986322,0.406395924952,0.15199,0.880047756,5.693318549,0.495471918794,3.65441688653
2144,121.202633666,-28.2772570075,522.0735835,0.202785686,195.250021,0.331692602284,0.14124,0.874886455,5.730328259,1.44357663921,4.04343375358
2145,121.211642675,-28.2772570075,521.9176538,0.172574396,122.3141489,0.582087006681,0.13841,0.874524588,5.709356177,2.39839276644,4.619951326
2146,121.220651684,-28.2772570075,519.1239634,0.243799151,77.7189607,0.371207158594,0.15447,0.866292627,5.606948543,3.37211115265,5.32339590727
2147,121.229660693,-28.2772570075,514.8468606,0.277384371,60.83574287,0.275667339563,0.16305,0.868358107,5.576272946,4.35577965864,6.11008491861
2148,121.238669702,-28.2772570075,512.0538148,0.285623958,37.04638977,0.134475467611,0.16975,0.861372721,5.52433624,5.34534728442,6.95181497421
2149,120.202633667,-28.2682479985,410.6442124,0.033672234,135.8363263,0.210576969666,0.17455,0.881424095,5.855595166,27.4274781892,33.9172516064
2150,120.211642676,-28.2682479985,410.0308337,0.055101438,134.4417177,0.188035166157,0.17111,0.882995985,5.846814445,26.473667735,33.66536188
2151,120.220651685,-28.2682479985,409.6377998,0.045965213,148.2574689,0.0590454745832,0.16721,0.896884824,5.878364987,25.5233933258,33.4414895674
2152,120.229660694,-28.2682479985,409.4834767,0.056145659,165.2347772,0.705684572359,0.17107,0.908677165,5.897135428,24.5770651295,33.246200662
2153,120.238669703,-28.2682479985,409.2220558,0.064467188,180.59812,0.785000592588,0.17281,0.919365673,5.899738192,23.6351571582,32.972221146
2154,120.247678712,-28.2682479985,409.5121346,0.064538153,196.6044652,1.26422482785,0.17709,0.925800565,5.885593548,22.6982196968,32.1778408428
2155,120.256687721,-28.2682479985,409.7338482,0.035160316,241.8508727,0.553301655368,0.18382,0.914699792,5.857759399,21.7668946087,31.3952148473
2156,120.26569673,-28.2682479985,409.9930549,0.032975744,324.3707784,0.519943364577,0.18488,0.920517747,5.824312335,20.841934277,30.6252443142
2157,120.274705739,-28.2682479985,410.0751859,0.053916291,230.164112,0.932921533103,0.18469,0.919388024,5.846452851,19.9242251519,29.8689079696
2158,120.283714748,-28.2682479985,410.040992,0.065818535,14.56281477,1.09806191965,0.18242,0.916003276,5.881391338,19.0148171539,29.1272679338
2159,120.292723757,-28.2682479985,409.7325057,0.07487678,39.906454,0.322873826112,0.17997,0.93115494,5.838402423,18.1149605268,28.4014755123
2160,120.301732766,-28.2682479985,408.9249847,0.117089692,62.606446,0.0546369426115,0.18302,0.943992651,5.755461536,17.2261521638,27.6927767704
2161,120.310741775,-28.2682479985,407.040198,0.120873921,59.00960818,0,0.18096,0.944243699,5.773416523,16.3501939393,27.0025176462
2162,120.319750784,-28.2682479985,405.8641653,0.051976976,100.551078,0,0.17627,0.935730724,5.859787618,15.4892661326,26.297253269
2163,120.328759793,-28.2682479985,405.8463931,0.036707581,170.7797796,0.610039469134,0.18377,0.923581025,5.81923257,14.6460195548,25.559570878
2164,120.337768802,-28.2682479985,405.5147763,0.062401015,155.57149,0.844786026795,0.18833,0.915482563,5.71243273,13.8236902551,24.8402455189
2165,120.346777811,-28.2682479985,405.2818982,0.084653156,172.810257,0.943519794299,0.1876,0.92323451,5.651000353,13.0262402762,24.1409181972
2166,120.35578682,-28.2682479985,405.5965378,0.116990787,194.4317809,1.08371070388,0.19226,0.945023794,5.600091433,12.2585259797,23.4633771091
2167,120.364795829,-28.2682479985,406.4053942,0.133891503,201.4214039,1.4258309978,0.19757,0.9593825,5.612397114,11.5264904742,22.8095637688
2168,120.373804838,-28.2682479985,407.1015084,0.129862862,198.3588852,1.92446415093,0.20187,0.958466623,5.626488128,10.8373661978,22.1815764381
2169,120.382813847,-28.2682479985,407.6462432,0.122865493,197.183835,2.40241897036,0.20557,0.953927417,5.651147255,10.1998543888,21.5816697044
2170,120.391822856,-28.2682479985,408.1980352,0.123416958,198.5161948,2.80654000047,0.2086,0.940158653,5.696306909,9.62421700699,21.0122488367
2171,120.400831865,-28.2682479985,408.8301583,0.1182037,196.2733434,3.43364830615,0.21146,0.93368725,5.706161149,9.11452929255,20.475857372
2172,120.409840874,-28.2682479985,409.2064462,0.119161708,187.3866136,4.20751881783,0.21242,0.928920708,5.734589034,8.65809153475,19.9751562961
2173,120.418849883,-28.2682479985,409.2771586,0.127583301,179.5634511,4.97351584112,0.21336,0.917894882,5.780623267,8.29756006343,19.5128932501
2174,120.427858892,-28.2682479985,409.1776709,0.131373563,177.8436354,4.59570758019,0.21337,0.892806288,5.80715373,7.70335776576,19.0918604887
2175,120.436867901,-28.2682479985,409.1316461,0.14060698,174.1355777,3.71838164823,0.21199,0.864239266,5.825216452,7.12275553419,18.714840925
2176,120.44587691,-28.2682479985,408.7325242,0.158864585,171.9174882,2.92099229667,0.2078,0.860444506,5.84369205,6.60189919475,18.3845425499
2177,120.454885919,-28.2682479985,408.4913185,0.212960836,192.1309023,2.26500629346,0.20399,0.924116217,5.841989005,6.17180424627,18.1035228253
2178,120.463894928,-28.2682479985,410.4834757,0.23126799,223.6167454,1.86987363665,0.20339,0.925270911,5.822002129,5.82158527264,17.8741062043
2179,120.472903937,-28.2682479985,412.9241808,0.158568217,209.7222831,1.96535017762,0.20028,0.853065274,5.809371746,5.62941652763,17.6982995373
2180,120.481912946,-28.2682479985,412.5008758,0.151297504,181.1410272,1.57948323602,0.19301,0.861902759,5.844606147,5.58247783791,17.577711467
2181,120.490921955,-28.2682479985,413.0586147,0.175773451,208.1697026,0.876597879048,0.18988,0.875233297,5.927188663,5.60908380626,17.5134826439
2182,120.499930964,-28.2682479985,415.1012841,0.208087433,223.457025,0.272003606689,0.19731,0.882576739,5.984037274,5.70091057487,17.5062334104
2183,120.508939973,-28.2682479985,417.4138419,0.193331758,219.6250421,0.251319954715,0.20275,0.884615786,6.004867657,5.79273734349,17.5560343504
2184,120.517948982,-28.2682479985,418.8849848,0.159136327,206.3087181,0.772229110459,0.19678,0.875690415,6.019941319,5.89276796697,17.6624028944
2185,120.526957991,-28.2682479985,419.5900987,0.141323843,200.1807281,0.0763150755524,0.18954,0.872768134,6.010093094,5.99728228557,17.8243263516
2186,120.535967,-28.2682479985,420.3779716,0.14094071,197.6891013,0.917484699064,0.1907,0.897653326,5.94606925,6.10179660416,18.0403088602
2187,120.544976009,-28.2682479985,420.8971549,0.145511225,191.6913023,1.70095106324,0.19642,0.915563699,5.894556715,6.1697709925,18.308437335
2188,120.553985018,-28.2682479985,421.2701319,0.147962468,188.4431908,1.45728684947,0.19878,0.912742894,5.910454887,6.15300239965,18.6264599837
2189,120.562994027,-28.2682479985,421.5565735,0.152661938,188.9795916,0.472502748713,0.19708,0.908616021,5.91465918,6.29704716167,18.991870508
2190,120.572003036,-28.2682479985,422.0107184,0.166508016,192.3055341,0.565947123073,0.18942,0.903875604,5.902169931,6.3309791509,19.4019916313
2191,120.581012045,-28.2682479985,422.6420855,0.171081387,197.981958,0.222622758618,0.19042,0.908027993,5.870250949,6.22946489814,19.8540528135
2192,120.590021054,-28.2682479985,423.5968965,0.18472265,213.2642495,0.244912785575,0.19158,0.9175219,5.869622285,6.28738171428,20.3452585872
2193,120.599030063,-28.2682479985,425.740096,0.209527948,227.6622829,1.20150485227,0.18696,0.929487476,5.895078414,6.28106439953,19.4920260324
2194,120.608039072,-28.2682479985,428.3153493,0.217485131,225.4875361,1.190971142,0.17763,0.936665902,5.903817727,6.28194247554,18.5406664594
2195,120.617048081,-28.2682479985,430.4365451,0.221450569,215.1357264,0.481401733292,0.17054,0.938174243,5.902060486,6.42403608501,17.5947022329
