"point_id","X","Y","best_model","best_dg","lon","lat"
54,-584068.1086,-3779267.8454,"rpart",-3.0176,125.6129,-34.4839
55,-466145.0549,-3773964.266,"rpart",-14.5154,126.9032,-34.4839
56,5902.124,-3764666.1718,"xgbTree",1.1646,132.0645,-34.4839
57,713714.1631,-3786477.0411,"xgbTree",1.0355,139.8065,-34.4839
58,1066799.6701,-3813453.6608,"xgbTree",0.5762,143.6774,-34.4839
59,-1419313.0253,-3749717.2589,"cubist",11.5103,116.5806,-33.5806
60,-1301048.9175,-3735979.4237,"xgbTree",-3.0564,117.871,-33.5806
61,-351174.5148,-3669193.8162,"cubist",6.2217,128.1935,-33.5806
62,-113105.0433,-3664504.4705,"xgbTree",3.2752,130.7742,-33.5806
63,5952.9784,-3663963.3527,"knn",2.9318,132.0645,-33.5806
64,482057.7374,-3673822.4278,"knn",1.4164,137.2258,-33.5806
65,1902551.8969,-3818505.7245,"rpart",0.7222,152.7097,-33.5806
66,2019951.831,-3838314.379,"rpart",1.058,154,-33.5806
67,-833861.4791,-3592363.7484,"cubist",3.6692,123.0323,-32.6774
68,-714038.0008,-3584546.8518,"knn",-12.0677,124.3226,-32.6774
69,126080.2499,-3563754.0561,"rpart",2.4929,133.3548,-32.6774
70,366181.9851,-3568726.0323,"rpart",1.0076,135.9355,-32.6774
71,486182.8987,-3573030.4739,"rpart",0.9065,137.2258,-32.6774
72,606134.311,-3578546.6788,"cubist",1.0176,138.5161,-32.6774
73,845839.3224,-3593211.9887,"xgbTree",0.8877,141.0968,-32.6774
74,965568.5626,-3602359.6034,"rpart",0.6596,142.3871,-32.6774
75,-961702.5561,-3500695.4357,"knn",1.4701,121.7419,-31.7742
76,-115042.1966,-3462616.9579,"xgbTree",23.6214,130.7742,-31.7742
77,369293.4029,-3467753.488,"xgbTree",1.198,135.9355,-31.7742
78,490313.9542,-3472094.5041,"rpart",0.9906,137.2258,-31.7742
79,611284.5837,-3477657.5797,"xgbTree",1.0328,138.5161,-31.7742
80,973772.9182,-3501672.8408,"rpart",0.6561,142.3871,-31.7742
81,1214955.6607,-3523779.5666,"rpart",0.5772,144.9677,-31.7742
82,1335367.3246,-3536658.7046,"cubist",-1.0652,146.2581,-31.7742
83,-1697949.1415,-3480742.2517,"xgbTree",0.2546,114,-30.871
84,-1455798.5763,-3448888.5826,"xgbTree",-2.1246,116.5806,-30.871
85,-1213054.0171,-3421932.4799,"rf",-5.7616,119.1613,-30.871
