"dataset","n_samples","repeat_id","model","mae","rmse"
"screened",885,36,"GOS",0.521366918730902,0.669336332925759
"screened",885,37,"MLR",0.55871099750586,0.701095560150062
"screened",885,37,"BCS",0.537776988390875,0.674872594030012
"screened",885,37,"GOS",0.529082206783413,0.663043736633085
"screened",885,38,"MLR",0.544997515889188,0.684462451788069
"screened",885,38,"BCS",0.51207503598058,0.656431435739052
"screened",885,38,"GOS",0.502611398787353,0.649592838915553
"screened",885,39,"MLR",0.527491526250515,0.666065381379186
"screened",885,39,"BCS",0.500046806604364,0.633628370895041
"screened",885,39,"GOS",0.49286773802899,0.624861122104331
"screened",885,40,"MLR",0.543064564115054,0.690077527372554
"screened",885,40,"BCS",0.517607213534664,0.667739714834667
"screened",885,40,"GOS",0.508131024955872,0.658448373809002
"screened",885,41,"MLR",0.5521388121784,0.695001557376954
"screened",885,41,"BCS",0.533129377563319,0.683084531989835
"screened",885,41,"GOS",0.524609568547662,0.674579718780206
"screened",885,42,"MLR",0.558296822981161,0.688784777679645
"screened",885,42,"BCS",0.541845339698078,0.678210611432546
"screened",885,42,"GOS",0.529972643323412,0.669387419938417
"screened",885,43,"MLR",0.540054000870907,0.672127199489311
"screened",885,43,"BCS",0.521789868327805,0.660354163399278
"screened",885,43,"GOS",0.510321806366767,0.649256654702696
"screened",885,44,"MLR",0.552721948639449,0.699372184867601
"screened",885,44,"BCS",0.529423261324332,0.684244878054253
"screened",885,44,"GOS",0.522052746172943,0.681250005157021
"screened",885,45,"MLR",0.55609032679589,0.698707380385346
"screened",885,45,"BCS",0.532424998670122,0.681744546097603
"screened",885,45,"GOS",0.526468853909642,0.679415936801757
"screened",885,46,"MLR",0.526897499106928,0.674068419032183
"screened",885,46,"BCS",0.511738749253817,0.660623492585911
"screened",885,46,"GOS",0.508008838936426,0.654724918030604
"screened",885,47,"MLR",0.553508197502107,0.703951274779581
"screened",885,47,"BCS",0.520863764889532,0.671130771697277
"screened",885,47,"GOS",0.513325087402693,0.66619246716997
"screened",885,48,"MLR",0.543255458770919,0.68528492169523
"screened",885,48,"BCS",0.518015294823915,0.66188857437857
"screened",885,48,"GOS",0.508794086291437,0.654878631744162
"screened",885,49,"MLR",0.548251229383952,0.684549037942548
"screened",885,49,"BCS",0.523144423227832,0.659417859878059
"screened",885,49,"GOS",0.510216320553136,0.65038331164648
"screened",885,50,"MLR",0.528335334636835,0.665781697535871
"screened",885,50,"BCS",0.520635837982572,0.654750678336945
"screened",885,50,"GOS",0.518527330879817,0.650859413514594
"unscreened",894,1,"MLR",0.555657324644661,0.706296927038809
"unscreened",894,1,"BCS",0.523470880073674,0.67864615175527
"unscreened",894,1,"GOS",0.518660552301626,0.674582206165926
"unscreened",894,2,"MLR",0.548010667730201,0.687327556880665
"unscreened",894,2,"BCS",0.519848272420496,0.675844193391123
"unscreened",894,2,"GOS",0.514630229683922,0.665307999498407
"unscreened",894,3,"MLR",0.562782875597162,0.730188862971785
"unscreened",894,3,"BCS",0.543504910803026,0.714412130559388
