"Elevation.Elevation_b1t0","Elevation.Elevation_b1t0.1","Elevation.Elevation_b1t0.2","Elevation.Elevation_b1t0.3","Elevation.Elevation_b1t0.4","Elevation.Elevation_b1t0.5","Elevation.Elevation_b1t0.6","Elevation.Elevation_b1t0.7","Elevation.Elevation_b1t0.8","Elevation.Elevation_b1t0.9","Elevation.Elevation_b1t1","Elevation.Elevation_b3t0","Elevation.Elevation_b3t0.1","Elevation.Elevation_b3t0.2","Elevation.Elevation_b3t0.3","Elevation.Elevation_b3t0.4","Elevation.Elevation_b3t0.5","Elevation.Elevation_b3t0.6","Elevation.Elevation_b3t0.7","Elevation.Elevation_b3t0.8","Elevation.Elevation_b3t0.9","Elevation.Elevation_b3t1","Elevation.Elevation_b5t0","Elevation.Elevation_b5t0.1","Elevation.Elevation_b5t0.2","Elevation.Elevation_b5t0.3","Elevation.Elevation_b5t0.4","Elevation.Elevation_b5t0.5","Elevation.Elevation_b5t0.6","Elevation.Elevation_b5t0.7","Elevation.Elevation_b5t0.8","Elevation.Elevation_b5t0.9","Elevation.Elevation_b5t1","Elevation.Elevation_b7t0","Elevation.Elevation_b7t0.1","Elevation.Elevation_b7t0.2","Elevation.Elevation_b7t0.3","Elevation.Elevation_b7t0.4","Elevation.Elevation_b7t0.5","Elevation.Elevation_b7t0.6","Elevation.Elevation_b7t0.7","Elevation.Elevation_b7t0.8","Elevation.Elevation_b7t0.9","Elevation.Elevation_b7t1","Elevation.Elevation_b9t0","Elevation.Elevation_b9t0.1","Elevation.Elevation_b9t0.2","Elevation.Elevation_b9t0.3","Elevation.Elevation_b9t0.4","Elevation.Elevation_b9t0.5","Elevation.Elevation_b9t0.6","Elevation.Elevation_b9t0.7","Elevation.Elevation_b9t0.8","Elevation.Elevation_b9t0.9","Elevation.Elevation_b9t1"
490.4848264,492.06104907,495.93895632,505.30169414,507.64782762,510.17457945,518.02254832,523.87355181,527.1498928,540.52159411,557.8160362,480.128079,481.85732008,483.74806722,486.74386366,489.5382254,491.3641221,492.48328248,499.2158617,509.247621,524.63618536,561.0533502,477.4098764,480.67559562,483.60464818,486.20382706,487.37960486,489.2167813,491.43256818,493.78807567,497.5553237,511.06979281,561.0533502,475.2612401,479.67832993,484.15765826,486.70106932,488.39019432,490.1900152,491.90240608,494.9818438,499.5743928,508.56948728,561.0533502,473.7054772,478.99704074,484.85299494,487.11642356,489.43006336,491.8216214,494.11417544,497.86497769,505.06767694,516.6669803,628.7376766
488.7717358,491.7596628,492.9673631,497.93262995,502.1257677,504.44683245,510.6429575,516.7458419,519.6253147,530.46682235,536.4246201,476.3748911,482.90878738,485.7624026,488.88215572,492.63900212,498.6238341,504.22427158,511.33565336,517.67408514,524.67600994,536.4246201,470.6326348,481.16888472,485.60764706,491.0618315,496.40309888,503.4421067,511.43678534,517.25228194,521.29604364,530.21526048,554.7577986,465.0806178,477.13796708,483.73829506,488.34867011,494.55136482,503.41890165,514.52994588,521.91232487,530.8006688,538.96720506,560.1753374,462.2232536,474.22262916,479.89265004,485.10250032,491.44297078,503.257262,516.98442616,527.8564451,535.02580618,546.00288834,835.355217
524.2693094,525.63800619,525.90036802,526.74608204,528.59990566,529.0163693,529.66873644,535.58610878,538.62671292,539.54836822,546.7909297,499.516215,506.23879466,517.07726082,523.01151154,525.15500836,527.535907,529.81732234,532.4362965,538.9422782,549.10161544,570.6599568,491.8421,498.3697233,508.3260897,520.8128441,525.5474021,530.21056905,536.6485438,546.83385525,561.4032665,582.8680152,672.2540336,477.7831531,490.94361668,498.76580244,516.67716988,525.53255864,532.9828132,546.54355408,559.9878139,573.42822266,597.86763812,690.3078656,477.2404087,485.63036411,494.39927602,507.00696801,524.24780592,535.04431065,548.79512406,564.42857405,581.43708892,621.01921228,821.7893942
491.8958476,492.1371573,492.94240054,494.02064302,494.65857266,495.541305,496.07212356,497.293857,497.5574259,498.1675533,500.3022345,483.6463141,487.156614,489.69595052,491.682571,493.96293128,496.6398287,499.51969048,503.73120116,508.1621251,517.87530358,568.2587273,477.7831531,482.61090834,485.59788992,489.05489183,492.17900004,496.28653605,503.61517424,515.93477863,523.86632878,531.37540831,568.2587273,477.024531,480.5082266,485.08581504,488.80520233,492.8039937,498.3161853,509.788997,523.73486145,530.7013906,542.71109979,587.8159388,475.1750134,480.48827656,487.4848072,491.1503278,494.84433676,503.0865591,517.91206262,529.2133854,544.39400888,568.92596298,682.0126628
527.3979006,528.9982226,530.75686576,532.9914823,534.37936086,536.7221807,538.01641738,540.18803734,541.1497186,543.30255876,544.734283,512.6646752,519.7082536,525.37346842,529.61754308,534.5405562,540.0162313,544.5130707,551.09581028,559.34593752,574.4026938,684.708702,502.9261846,511.82135022,519.48683656,527.91322991,536.5314173,543.7087745,552.20309076,562.65963281,588.52990716,687.78182891,799.9967913,493.4822898,506.23634973,516.0217074,524.20341966,532.67086032,541.280324,552.20309076,565.86768778,598.30655372,672.22067735,827.0280901,484.7480117,500.22890442,508.33004204,515.8274763,523.39112906,533.0280964,543.7329979,557.22120456,586.2497122,684.7783989,890.2537606
486.2095689,486.55023228,486.71162928,486.94236102,487.13407886,487.5809281,487.88910634,487.98963834,488.23307316,488.3825152,488.9593733,483.4232064,485.40931316,486.4252269,487.63218104,488.23575674,488.9232506,489.42859284,490.6530425,491.91058978,492.9468813,494.8817134,480.8025541,484.18087765,486.5918558,488.55108345,489.9232645,491.117449,492.3733493,494.0747843,496.5267748,499.58518115,521.7338867,478.8026559,483.63589762,487.86192582,490.27960296,492.0216909,493.676647,495.7560812,498.65749158,505.10378652,520.76005506,568.2587273,476.4113487,482.70173138,488.55903868,491.52716825,493.97671272,496.7036651,499.72530832,505.38341528,515.2578522,528.55286744,622.2441325
498.6238341,505.35472116,508.9075726,513.20597214,516.6069589,519.1400711,520.626792,522.29102062,522.97779456,523.53194008,528.4744416,478.5987187,485.31841024,490.55833984,498.18142438,509.57368144,515.5810884,518.65582738,522.97779456,529.08410842,531.92294964,536.4246201,474.3479495,481.6659693,485.6313591,490.16562705,500.7546699,513.1669778,520.2621242,526.7377274,530.811482,535.2506715,548.9907563,464.6356043,478.10367106,484.37643364,489.77420916,497.3039442,511.470496,519.81129584,526.98945612,532.57340116,538.59661792,560.1753374,461.1481722,475.43034605,482.4237693,489.18647015,499.1125154,510.27300875,519.0144538,527.01437245,533.5222175,542.00898005,587.0733095
508.356114,508.67235819,510.3327504,511.85907261,513.85042912,515.3423257,516.17483532,519.73246515,521.77577718,522.91185902,526.8682176,496.9191238,504.873745,507.88619938,509.46012312,511.31897196,513.589248,515.24830114,517.48847728,519.94086526,521.81746832,529.3373238,493.2250816,498.39288272,501.1003897,504.376634,507.48768292,510.2993444,514.08474132,518.1657359,522.04526682,527.88651188,543.7473346,489.2006014,495.60351199,498.68704134,501.78345426,505.5189029,509.5756924,514.56625098,520.53920526,527.52550102,537.89639567,579.5632008,483.0019878,492.48259652,496.92504892,500.56863842,504.88329636,510.0474542,516.41853978,524.7819687,538.01500752,556.67622386,734.8823505
513.1511331,514.37205975,515.2418617,516.0959243,516.8405185,517.7671782,518.3641086,519.6697188,520.5494301,521.71454725,522.9165118,504.4064432,510.13496785,512.6646752,515.5366779,518.0277813,519.74264245,522.2973331,524.0884913,527.0679106,531.8238778,545.0796894,499.8431614,507.0182888,511.2201847,514.826955,519.2633188,522.4374642,527.5032691,533.0280964,539.6318517,548.6078024,586.2326896,493.9948531,500.57681686,506.0211592,511.50184624,517.89344838,524.3397774,532.80998516,543.16975698,554.72372666,576.66599524,799.9967913,486.4150526,496.55187936,501.81731468,508.35771624,515.7801867,525.2128983,537.5175711,551.30522486,568.00315482,643.64275954,890.2537606
517.4303678,519.2356005,524.38955822,525.5620202,526.07282148,529.0517746,531.26948472,533.30222396,534.89139692,536.46451952,536.9912648,511.0592353,518.7381645,523.351754,527.137584,530.4620074,532.6238632,534.5392047,537.1958202,540.6180291,546.2572086,554.7577986,491.8024144,514.75010775,520.8470241,525.00975555,528.5780996,531.30714675,534.5392047,537.5472595,542.7297064,548.28465675,567.5947464,476.8863319,494.3272591,512.86259154,519.20098259,524.37294406,529.5250931,533.66223154,538.94287807,546.74012502,559.32114137,604.4482285,469.4236306,487.30078954,500.58097086,514.01725888,520.26832452,528.1921566,533.68437558,541.3898149,554.1866825,569.72484662,835.355217
493.1248591,494.10493268,494.63558908,494.91497932,495.38549356,496.0060432,496.21119406,496.44622014,497.1820107,498.01391862,498.5088483,488.0990067,491.1129077,492.709155,494.00507668,495.58900918,496.9943681,498.76580244,504.91629012,513.48468508,523.90148932,539.1928874,484.2691197,488.25629828,491.030146,493.44848363,495.83231522,498.3697233,502.62196364,510.82983492,521.27520252,527.47193921,561.412039,481.7392391,487.134218,490.08276392,492.93348307,496.4432578,500.4885335,507.01435028,518.63952725,528.04323692,549.81669203,653.4548003,477.6237084,486.2991925,490.9782455,493.8598032,497.2565877,502.4706876,511.8594704,524.5690293,537.2392798,561.6834054,683.6072065
489.8623384,489.95227465,490.57273588,491.09826632,491.19663424,491.8099957,492.37919308,492.59583335,493.09030452,493.81938709,493.8711327,486.2318504,488.29181235,489.0558329,490.0701739,491.2301779,492.2725644,493.0348933,494.84353385,496.4446493,498.81748755,509.3778598,481.8158506,486.50996652,488.93047514,490.37196376,491.45416324,492.5168802,494.0660696,496.88226816,500.79068656,506.10863694,557.8160362,479.4736792,486.11547842,488.62464088,490.56553156,492.19439766,493.8350428,495.65621418,499.30246008,506.13413882,516.7764785,561.0533502,477.4098764,485.6443753,488.8141721,491.4432775,493.8687057,496.4501038,498.9572937,504.3186084,513.8108231,527.2265328,592.2136597
502.3322466,502.93144986,503.28785394,504.07573122,504.82585978,505.4638935,505.79045984,506.47586878,506.69603656,507.22681663,508.5940364,493.6435929,495.77663981,497.8389203,499.49595956,502.23184548,505.10173155,508.67639808,512.62035775,516.19120696,519.17622736,540.1301892,487.2766964,491.43353585,493.21426576,495.73423883,499.52085876,505.03519855,512.30337938,518.00610268,524.6623688,535.2905197,589.8238535,484.0477946,489.01309988,491.71728018,494.8364158,499.59857732,506.6984521,516.21406052,526.04889998,538.94579448,561.34518922,639.7149889,480.128079,487.09642435,490.54984876,493.56177169,498.55396602,508.05399925,519.12399264,533.26025266,554.59080292,598.26182858,884.2853586
515.3398308,516.82555661,517.49166352,518.05688069,519.18547546,519.616531,520.14578526,520.60146848,521.7254353,522.37717656,522.5422014,508.6969885,515.01147458,518.21766046,522.0867743,525.33717308,529.0535434,533.26461132,537.00910126,541.8775036,551.66624912,615.9787823,490.8326278,502.39993844,511.69055904,519.07852824,526.4158909,534.650598,541.765351,552.38302274,569.75001888,599.18187368,723.512469,485.6943943,494.528238,502.2067452,513.7336991,524.4498109,536.6651883,547.8862587,564.2143294,596.1432809,682.3094449,884.2853586,485.542396,490.89389327,496.79575342,507.09916402,521.6625209,534.4977117,547.85645634,571.66520473,612.66014068,704.86021118,890.2537606
