"SampleID","Lon","Lat","Cr_ppm","Cu_ppm","y"
325,118.3479996,-24.3125662,378,68,5.93489419561959
326,118.3489097,-24.45469618,145,27,4.97673374242057
327,118.3493498,-24.57322621,139,91,4.93447393313069
328,118.3511598,-24.92900604,211,73,5.35185813347607
329,118.3515802,-25.0571965,378,34,5.93489419561959
330,118.3520995,-24.89059565,397,83,5.98393628068719
331,118.3521897,-24.52560617,59,89,4.07753744390572
332,118.3526299,-24.74955627,60,51,4.0943445622221
333,118.3532397,-24.69232609,121,99,4.79579054559674
334,118.3537,-24.9612563,149,48,5.00394630594546
335,118.3540002,-24.98958654,210,54,5.34710753071747
336,118.3619301,-25.00937654,118,47,4.77068462446567
337,118.3636697,-25.10025669,222,35,5.40267738187228
338,118.3696693,-25.14493693,296,47,5.69035945432406
339,118.3733597,-24.51048616,115,81,4.74493212836325
340,118.3755701,-24.71884612,301,69,5.70711026474888
341,118.3758796,-24.37541617,74,20,4.30406509320417
342,118.3777295,-24.34724617,255,26,5.54126354515843
343,118.3779002,-24.7921961,97,61,4.57471097850338
344,118.3794503,-24.74034605,74,95,4.30406509320417
345,118.3801898,-24.59979617,56,69,4.02535169073515
346,118.3834696,-24.41676616,40,27,3.68887945411394
347,118.3851597,-25.01573673,128,52,4.85203026391962
348,118.3873788,-25.19684724,359,33,5.88332238848828
349,118.3880295,-24.31537618,155,40,5.04342511691925
350,118.3887893,-25.06024688,104,71,4.64439089914137
351,118.3912491,-25.08463696,167,47,5.11799381241676
352,118.3922496,-24.83071635,120,59,4.78749174278205
353,118.3924496,-24.44746614,273,44,5.60947179518496
354,118.3933491,-24.8899367,41,77,3.71357206670431
355,118.3934092,-24.92395678,123,70,4.81218435537242
356,118.3937192,-24.96314684,175,62,5.16478597392351
357,118.3966897,-24.63585615,56,55,4.02535169073515
358,118.3971691,-24.85415662,187,82,5.23110861685459
359,118.4017482,-25.16046739,180,40,5.19295685089021
360,118.4027304,-24.68463592,189,69,5.24174701505964
361,118.4118904,-24.71399594,216,40,5.37527840768417
362,118.4131697,-24.59939616,74,71,4.30406509320417
363,118.4138482,-25.11442731,229,41,5.43372200355424
364,118.4153284,-25.09091722,180,43,5.19295685089021
365,118.4168298,-24.63466616,89,74,4.48863636973214
366,118.4172696,-24.46224613,121,66,4.79579054559674
367,118.4174397,-24.53577612,61,62,4.11087386417331
368,118.4207788,-25.04335711,166,58,5.11198778835654
369,118.4209396,-24.42133613,71,29,4.26267987704132
370,118.4211995,-24.37892614,40,15,3.68887945411394
371,118.4252602,-24.67462596,120,76,4.78749174278205
372,118.4262497,-24.56866616,228,68,5.42934562895444
373,118.4276696,-24.51085612,83,80,4.4188406077966
374,118.4279703,-24.741786,57,79,4.04305126783455
