"y","pH_b9t0.9","pH_b9t0.7","NDVI_b9t0.1","pH_b3t0.9","NDVI_b5t0.1","NDVI_b7t0.4","pH_b1t1","Water_b9t1","Road_b9t0.8","SOC_b9t1"
4.80402104473326,5.7289857978,5.64653105,1.6800390789,5.672709401,1.7735313246,1.9707268258,5.567526665,23.99977714,14.104035418,0.947845634
5.50125821054473,5.5172028414,5.3931961197,1.4808426597,5.5586764964,1.4315428307,1.6946130604,5.592471764,20.72577291,19.023546086,0.921833611
3.66356164612965,5.5505030442,5.459140913,1.4867759894,5.5289424685,1.512548845,1.6381374936,5.405893014,20.50041599,15.403276808,1.045733167
4.35670882668959,5.7834610414,5.6436425294,1.5505791266,5.492230288,1.5861208394,1.7543792518,5.394663463,22.28061419,26.903226966,0.947845634
4.64439089914137,5.682714541,5.565129796,1.511300256,5.6028485826,1.5104557422,1.67932797,5.676191863,16.09271531,10.98540615,1.045733167
4.95582705760126,5.72878753,5.6107263011,1.419554553,5.692515628,1.3320342938,1.590393872,5.574257348,20.23024053,28.416750448,0.827941536
3.49650756146648,5.7876329244,5.6392919445,1.6955486675,5.8899271562,1.810129663,2.0319974764,5.905156147,22.6094192,18.89754799,0.947845634
4.40671924726425,5.5314432761,5.431133709,1.4815835298,5.512917757,1.5222578492,1.6034565044,5.592511852,22.88027219,17.746001344,1.045733167
4.70953020131233,5.7833643458,5.6371833668,1.5622712754,5.5484509718,1.591278031,1.7856523106,5.365950358,22.28061419,26.702860292,0.947845634
4.62497281328427,5.517609885,5.414494391,1.463074358,5.409386156,1.417131379,1.598828141,5.342426128,24.76928557,18.8594874,0.921833611
4.89034912822175,5.6817240188,5.5736502526,1.5530882032,5.7070530318,1.5590552768,1.767429541,5.614810981,16.10489061,12.419486242,1.045733167
3.52636052461616,5.725164114,5.6535523203,1.8086885766,5.7060257055,1.9162792792,2.245071037,5.70205163,22.80629178,6.264250827,0.894274206
4.70048036579242,5.7303882595,5.666159526,1.7619091605,5.70309899,1.619895662,1.9961967488,5.571123875,23.99977714,11.71225904,0.866586284
3.76120011569356,5.7285240098,5.5730932382,1.4283744254,5.7359844438,1.3970878466,1.6305485622,5.631801367,22.28061419,27.378937414,0.900972261
4.24849524204936,5.7283153733,5.6628477469,1.7245263349,5.727460321,1.7870883206,2.1327076524,5.721051016,23.41321335,7.2595015954,0.870249423
5.26269018890489,5.7226821858,5.5690022934,1.40941051,5.7858910194,1.3364816745,1.583926087,5.665345771,22.28061419,27.58937061,0.900972261
3.61091791264422,5.7060657614,5.5426216122,1.843193891,5.6544774215,1.999276029,2.202869924,5.448534815,24.25993905,8.075464775,0.904479165
4.8283137373023,5.7238523383,5.5894795774,1.4099478947,5.6686859168,1.2973933596,1.5698940772,5.627537545,21.09228631,27.594516508,0.875763362
4.99043258677874,5.5095561666,5.4101594804,1.451775237,5.4959932356,1.4469589135,1.5795717308,5.511640797,25.63084395,18.817904082,0.921833611
3.73766961828337,5.7405404715,5.664599906,1.7520477945,5.5673490964,1.6251282695,1.9934701596,5.436586425,22.7375066,14.92360345,0.947845634
4.68213122712422,5.6856324525,5.590194429,1.5724710345,5.7072437325,1.646446973,1.9313482742,5.746452027,12.82785999,13.392871096,1.045733167
4.59511985013459,5.665372247,5.5232200546,1.524007428,5.6693115038,1.5722465006,1.6738064362,5.495261832,18.86592045,14.33281755,1.045733167
