"var1","var2","qv1","qv2","qv12","pv12","interaction","LocationID"
"x2","x3",0.214806958589555,0.188298861777286,0.34696881025142,0.000501704780205947,"Enhance, bi-",8
"x2","x6",0.214806958589555,0.240927762515907,0.628722375035383,8.03270117089028e-10,"Enhance, nonlinear",8
"x2","gc_x1",0.214806958589555,0.114523396742339,0.3874618585843,0.0192047356742266,"Enhance, nonlinear",8
"x3","x6",0.188298861777286,0.240927762515907,0.453042271021793,3.05287795043796e-10,"Enhance, nonlinear",8
"x3","gc_x1",0.188298861777286,0.114523396742339,0.279908644186849,0.00276063412302652,"Enhance, bi-",8
"x6","gc_x1",0.240927762515907,0.114523396742339,0.39243081430202,0.000149633317010012,"Enhance, nonlinear",8
"x1","x2",0.234744962535599,0.226623439839944,0.444308868191146,9.25505005966443e-10,"Enhance, bi-",9
"x1","x3",0.234744962535599,0.0763527354148172,0.408591950283349,5.66975910665235e-10,"Enhance, nonlinear",9
"x1","x6",0.234744962535599,0.00734884210204023,0.322963451441695,6.62049304267498e-10,"Enhance, nonlinear",9
"x1","gc_x1",0.234744962535599,0.142269986191359,0.327604739025415,2.64155775031583e-09,"Enhance, bi-",9
"x2","x3",0.226623439839944,0.0763527354148172,0.40474063870837,4.09971723236424e-10,"Enhance, nonlinear",9
"x2","x6",0.226623439839944,0.00734884210204023,0.470723623506297,8.18622614140452e-10,"Enhance, nonlinear",9
"x2","gc_x1",0.226623439839944,0.142269986191359,0.498127177299932,4.88997509151545e-10,"Enhance, nonlinear",9
"x3","x6",0.0763527354148172,0.00734884210204023,0.257005290795412,2.70809816793616e-08,"Enhance, nonlinear",9
"x3","gc_x1",0.0763527354148172,0.142269986191359,0.266440738148268,2.69994693269382e-10,"Enhance, nonlinear",9
"x6","gc_x1",0.00734884210204023,0.142269986191359,0.21177862086247,2.50089672908516e-05,"Enhance, nonlinear",9
"x1","x2",0.22102881288736,0.295076308325562,0.513619752650958,8.17778733619434e-10,"Enhance, bi-",10
"x1","x3",0.22102881288736,0.102841142437219,0.384787038509064,5.9789040385283e-10,"Enhance, nonlinear",10
