"ga","u","se","eta"
0.180145501803025,0.529860805107169,0.0101688209811273,0.89957484895099
0.185029709097877,0.534657769345045,0.0101342806574153,0.836309532728672
0.18991391639273,0.536219753249276,0.00992067985119707,0.714843875458718
0.194798123687582,0.536129439417998,0.0100388919962022,0.60176293546074
0.199682330982434,0.537073651573194,0.0100089420022168,0.498670583635889
0.204566538277287,0.539058066111923,0.0102642856981626,0.350424354263012
0.209450745572139,0.540665106109155,0.010101052767821,0.217579341377351
0.214334952866991,0.541996215727154,0.0101958694417925,0.132206834371041
0.219219160161844,0.542671920686393,0.0100879096603076,0.121062290943366
0.224103367456696,0.543225349048366,0.010174358816794,0.163599591112544
0.228987574751548,0.543891099424104,0.010279295761152,0.190942511963345
0.233871782046401,0.542882188012477,0.0100129948817228,0.225532581559785
0.238755989341253,0.542613236383542,0.0101088349014212,0.278518683629441
0.243640196636105,0.542406476363418,0.0102741063753055,0.321294908036257
0.248524403930958,0.543315273143962,0.0104087714800854,0.347369015534035
0.25340861122581,0.545718091214159,0.0103718004765184,0.350270965253286
0.258292818520662,0.54826488529114,0.0105345383652557,0.309576696517053
0.263177025815515,0.552276640672897,0.0105596944582308,0.268532106975646
0.268061233110367,0.556989221945182,0.0104672676605884,0.217371706119089
0.27294544040522,0.56082746693071,0.0104480797297071,0.196506524783977
0.277829647700072,0.563031388042518,0.0102369725336769,0.19767657944212
0.282713854994924,0.563754901092347,0.0101840187934101,0.237117695732267
0.287598062289777,0.562035540537443,0.0101042400866943,0.303118594187846
0.292482269584629,0.558620985721987,0.0101623382522319,0.341042089055086
0.297366476879481,0.555353498056199,0.0101989509995345,0.344465633015959
0.302250684174334,0.55392381958545,0.0101244131117995,0.355286265590272
0.307134891469186,0.554901193839954,0.0102751609163533,0.373354473281269
0.312019098764038,0.559615674964968,0.0101044546661789,0.402171324766064
0.316903306058891,0.566030813878392,0.00987237008743097,0.449152684467263
0.321787513353743,0.572265283783471,0.00996870456942768,0.485263057618491
0.326671720648595,0.577178520636411,0.00985595163898562,0.507463902567549
0.331555927943448,0.581650968172592,0.010000269668222,0.489013440750229
0.3364401352383,0.584913875746111,0.00990892360093351,0.47067540125359
0.341324342533152,0.587326358510781,0.0100194754521572,0.419051338685859
0.346208549828005,0.588360598353173,0.0103871524826358,0.347272707294246
0.351092757122857,0.587062490113298,0.0104111021084998,0.26939317226893
0.355976964417709,0.585096204793735,0.010461288670001,0.209603242088653
0.360861171712562,0.582585135760567,0.0106296220491646,0.158904590749613
0.365745379007414,0.582487708579678,0.0105183959915314,0.118820486620029
0.370629586302267,0.584176478228893,0.0105806083424444,0.0758755623316149
0.375513793597119,0.586384636561628,0.0105435628458246,0.0500874702391003
0.380398000891971,0.588054548949623,0.0105151153857922,0.0554450770766056
0.385282208186824,0.589463468844821,0.0102816870605917,0.0633185500134219
0.390166415481676,0.590964443708489,0.0102847560651129,0.0970699904759422
0.395050622776528,0.59187800239644,0.0103348247211135,0.107504329789374
0.399934830071381,0.591773462211274,0.0100864447607534,0.120231621367174
0.404819037366233,0.591296249403443,0.0101665816677646,0.151816886016272
0.409703244661085,0.590312153112353,0.0103252919869367,0.170803847163325
0.414587451955938,0.588807335880235,0.010181648458507,0.176387447803938
0.41947165925079,0.588274455227693,0.0100961273081182,0.141639638825027
0.424355866545642,0.588788589761103,0.0101103778744086,0.11909626676647
0.429240073840495,0.591223312174735,0.0101860217233942,0.0977387040849277
0.434124281135347,0.595282698267577,0.0100852005550411,0.0948044348240755
0.439008488430199,0.598065445705271,0.00999809774579861,0.104711946926909
0.443892695725052,0.599801623156233,0.0100275823232608,0.134322374761185
0.448776903019904,0.599266011994763,0.00976357733929242,0.148632125281216
0.453661110314756,0.598858292655606,0.00983063893809168,0.133766548689035
0.458545317609609,0.597501975309046,0.00981609598474304,0.0723942824950166
0.463429524904461,0.596852783549268,0.0100006530758688,-0.0200167398172535
0.468313732199313,0.596449371372816,0.0101606053807528,-0.0859913943565099
0.473197939494166,0.596680035752281,0.0102121447934941,-0.113554333589913
0.478082146789018,0.596985856554268,0.0103513994995906,-0.0726893724065206
0.48296635408387,0.596628712396074,0.0105450267198926,-0.0116842685690504
0.487850561378723,0.595466376366748,0.0106573042548303,0.0714795144352197
0.492734768673575,0.594109507387962,0.0106853164027446,0.129058316388138
0.497618975968428,0.593025448157944,0.0107028738214955,0.169162255746386
0.50250318326328,0.59314614830245,0.0106313646540319,0.199256163467673
0.507387390558132,0.595005652439169,0.0106471961509243,0.229104007756295
0.512271597852985,0.598173471978247,0.0106029083690613,0.275876370254979
0.517155805147837,0.60169142449909,0.0105458966606826,0.371000480029115
0.522040012442689,0.60441695439364,0.0103939723215132,0.476295908443755
0.526924219737542,0.606364053655178,0.0101802340920252,0.559838999351292
0.531808427032394,0.608358536638118,0.0100512249468351,0.614259798294175
0.536692634327246,0.610413754145827,0.0101152293760716,0.621229901671774
0.541576841622099,0.612797960956995,0.0101682446539214,0.587286960653962
0.546461048916951,0.617210895378171,0.0100473350847076,0.536805635035056
0.551345256211804,0.622025442794314,0.00994599215073018,0.486412226341548
0.556229463506656,0.625837884852837,0.00993820624319357,0.424539861257732
0.561113670801508,0.629148214555605,0.0101231400261266,0.358165750299476
0.56599787809636,0.631416239849477,0.010134173907286,0.294285674825722
0.570882085391213,0.63259464706702,0.0101311090334339,0.222560754311393
0.575766292686065,0.633153864481763,0.0102098344307285,0.106006568131058
0.580650499980918,0.632925812124073,0.010327858181506,-0.0326648591822708
0.58553470727577,0.631246541902906,0.0102998167108411,-0.164090070227274
0.590418914570622,0.629350805882665,0.010231485882723,-0.301038978757371
0.595303121865475,0.627661981022879,0.0102207445661538,-0.430598946223753
0.600187329160327,0.625842355274062,0.0101901965086852,-0.548204817524735
0.605071536455179,0.623423992018587,0.0101596721157255,-0.655294490248696
0.609955743750032,0.620110939472273,0.010193616109416,-0.744032510720944
0.614839951044884,0.616220485836634,0.0101212059662188,-0.800914339532237
0.619724158339736,0.611504173242625,0.0101977346909383,-0.843399795098812
0.624608365634589,0.606178625677855,0.0101297098841278,-0.888057360822905
0.629492572929441,0.600464095441089,0.0100872252281244,-0.921761491057167
0.634376780224293,0.594746734927172,0.0101116210765298,-0.939740995133416
0.639260987519146,0.589317703926427,0.0100779589964803,-0.943792376823021
0.644145194813998,0.584304561986563,0.0101143210267027,-0.922057644435143
0.64902940210885,0.579918732702282,0.0101059563959796,-0.880387019275555
0.653913609403703,0.575612506143136,0.0101979931894924,-0.82505334648787
0.658797816698555,0.571817464889237,0.0102255856980835,-0.758380990521103
0.663682023993407,0.568345314134158,0.0102355070896879,-0.686226464661431
0.66856623128826,0.564794808131813,0.0103550763376118,-0.614943846436045
0.673450438583112,0.56217823775794,0.010318432236968,-0.546585116740161
0.678334645877965,0.559904260820558,0.0103065847767852,-0.483689959875549
0.683218853172817,0.557821846795155,0.0103491084613057,-0.418300414601934
0.688103060467669,0.556015015846923,0.0104016183620392,-0.357615004331983
0.692987267762522,0.554526667271731,0.0104074712055312,-0.301878372876465
0.697871475057374,0.553275545278177,0.0104114910269461,-0.244919125680375
0.702755682352226,0.552268941813283,0.0104319434258949,-0.205588140445581
0.707639889647079,0.55156942833663,0.0104331573983744,-0.172982640606408
0.712524096941931,0.551095714905874,0.0104366992433946,-0.146407055863756
0.717408304236783,0.550857475134354,0.0104007984298195,-0.128169030571143
0.722292511531636,0.550652075522621,0.0104531405958777,-0.11731048599842
0.727176718826488,0.55043997876825,0.0104426441673003,-0.114656375268105
0.73206092612134,0.550128616614347,0.0104490411650494,-0.119778734775286
0.736945133416193,0.549765663918966,0.0105048281314455,-0.134041553119492
0.741829340711045,0.549240857871943,0.0105319502908811,-0.155824910465309
0.746713548005898,0.548502966477846,0.0105254994411097,-0.185372044658201
0.75159775530075,0.547651042494017,0.010538708130152,-0.217445625324676
0.756481962595602,0.546555479224347,0.0105449962753876,-0.254828339955287
0.761366169890454,0.545248651771391,0.0105628568265993,-0.294155886601037
0.766250377185307,0.543713187557916,0.0105866243151774,-0.336181154905202
0.771134584480159,0.541962740932901,0.0106144975920301,-0.378916634628297
0.776018791775012,0.539992729220978,0.0106455087176226,-0.421341519703594
0.780902999069864,0.537907481409287,0.0106939330361939,-0.464997315359417
0.785787206364716,0.535504365524913,0.0107288886792336,-0.507543422140719
0.790671413659569,0.53288799668842,0.0107654150884333,-0.549428097255912
0.795555620954421,0.530061922528807,0.0108066020825261,-0.590287427089029
0.800439828249273,0.527032369180034,0.0108559039710887,-0.630315656138214
0.805324035544126,0.523807934587921,0.0109161067359751,-0.669407366585015
0.810208242838978,0.520397323136835,0.0109894038203898,-0.70932720427781
0.81509245013383,0.516808111805859,0.0110778439772217,-0.746615477426934
0.819976657428683,0.513046403124021,0.011183750501843,-0.783060626891438
0.824860864723535,0.509116153668541,0.0113099688666324,-0.818734427272696
0.829745072018387,0.505019633023662,0.0114599657318263,-0.853767428633551
0.83462927931324,0.500758437103749,0.0116378015239847,-0.888332830545091
0.839513486608092,0.496333468142436,0.0118480157747882,-0.92260089508501
0.844397693902945,0.491744868389333,0.0120954603436907,-0.956722519548743
0.849281901197797,0.486992431574322,0.012385109053466,-0.99082593006422
0.854166108492649,0.482075498582023,0.0127218574560952,-1.02500823179632
0.859050315787501,0.476992643943562,0.0131103389474661,-1.05933990613059
0.863934523082354,0.471742314293459,0.0135547781949532,-1.09387698277166
0.868818730377206,0.466323234872696,0.014058876402702,-1.12866256787673
0.873702937672059,0.460734138496305,0.0146257473741056,-1.16372501428031
0.878587144966911,0.454973612297439,0.0152578920118602,-1.19908671273267
0.883471352261763,0.449039921472262,0.0159572134034942,-1.23475901852398
0.888355559556616,0.442931204656648,0.0167250653845184,-1.27073586603077
0.893239766851468,0.436645773836656,0.0175623246626135,-1.30701297783026
0.89812397414632,0.430182004773033,0.0184694748535985,-1.34358822054739
0.903008181441173,0.423538377941933,0.019446689461912,-1.38044969043316
0.907892388736025,0.416713374740449,0.0204939095345128,-1.41757941026428
