"element","RF","SRK"
"Co",-1.82660310997211,-5.50988259559201
"Co",-4.68906666666667,-5.420173303078
"Co",-1.9670238600019,-1.58205731175113
"Co",0.155603629329127,0.021211481575917
"Co",-0.569572959993936,-0.0743385344728011
"Co",2.51112022913593,2.74822379485387
"Co",-3.05061158710823,-3.13213485647867
"Co",-0.927031217980634,0.754558912901603
"Co",-2.90828458189832,-3.65960948291656
"Co",1.61182480729144,2.09251584542286
"Co",-3.14744544565238,-3.21347840323044
"Co",9.70676517973049,9.19695287130817
"Co",-6.31709720018581,-5.76068936674757
"Co",-1.58745116566929,-1.86560786840795
"Co",-3.57002219991855,-3.45913504982824
"Co",-2.31948093330304,-1.55690316107295
"Co",-1.6250760664318,-3.32853601381522
"Co",-2.79094689176248,-1.59610467340901
"Co",-2.82346857700583,-2.9806576892508
"Co",0.735259410635496,0.134471270865976
"Co",-1.29450343234533,-1.42189525871947
"Co",-4.55496767598044,-4.09013170715336
"Co",-1.47151562553747,-1.32675239790916
"Co",1.2100654310966,1.03181454381681
"Co",-0.391886130381955,-1.44621326514635
"Co",2.19898449472705,1.15887649023392
"Co",-1.69745565260733,-2.2360518782895
"Co",-3.331647618944,-3.6738065319168
"Co",-4.27113039818515,-4.631103339959
"Co",-1.8171397146532,-1.66366035004614
"Co",-2.812663334642,-3.069794400854
"Co",-2.25387618308704,-1.288492684733
"Co",14.1147753356332,14.2391138952034
"Co",6.02363904272764,5.51122559223424
"Co",-2.41839631531434,-2.60674416694117
"Co",-1.0115542460789,-1.04197849168273
"Co",0.36685455792173,0.105453312520999
"Co",-0.212002905476201,-0.347204875119664
"Co",0.286887078205498,0.439606773660675
"Co",-1.80004219878073,-1.19742526100424
"Co",-0.940111872498354,-0.720321790894693
"Co",-0.859739039781403,-1.08381419279913
"Co",-3.766009999653,-3.95629166714667
"Co",-3.27789666391266,-2.29512656428566
"Co",9.03733889221899,5.88295177287845
"Co",5.1935570766905,3.45873511481665
"Co",8.71965432518309,9.15439104137166
"Co",4.01717418137404,-1.84052610790836
"Co",7.99598559912054,6.16775609006552
"Co",2.87432036274699,4.21676714423566
"Co",-4.09793985458033,-3.940670003401
"Co",-0.429265609580466,-0.723422707589067
"Co",-0.355420265650126,0.239616514391817
"Co",-1.25359019383242,-2.94763754155045
"Co",-0.998657283101272,-0.805095361656234
"Co",0.341039186377804,0.475920411816428
"Co",-1.39583260577062,-1.20491459733094
"Co",-0.623254287368565,-0.324200330547104
"Co",5.96461828657218,5.79409719151201
"Co",-0.760014607165451,-0.655565943124431
"Co",4.23625223247876,4.04634034525608
"Co",-1.74888303533609,-1.59078795073844
"Co",0.0595192639071893,-0.68929142026422
"Co",-2.46696424974233,-3.74145577352337
"Co",-8.41940333868633,-7.57959788162067
"Co",6.0082790297368,5.3054378909438
"Co",-2.07684714141433,-4.93556263882145
"Co",5.56869198330828,5.61892135948002
"Co",-5.65307215108502,-5.5118096200344
"Co",6.90709775263072,5.85383367731853
"Co",3.81008536108165,3.24906318886256
"Co",-0.94753102871374,-0.743490790956287
"Co",-1.01754879503027,-1.06561041140807
"Co",-1.5314438479858,-1.3320770405835
"Co",-0.174586332901564,-0.756298918167433
"Co",1.54788992511867,1.9774799263054
"Co",-3.271830663024,-2.99763846827967
"Co",-0.85656459928399,-0.374710497679994
"Co",2.74681653438199,2.47883326787666
"Co",-2.65892163471966,-0.94888571893296
"Co",-6.82971109149254,-3.91021232099103
"Co",-1.4953550427453,-1.58215063821982
"Co",-0.206860399224844,1.70925945338728
"Co",2.74286148950296,2.58426960410224
"Co",-1.02971461368568,-0.0530921941636855
"Co",4.82749741297883,8.17119664167316
"Co",-1.23569894064463,-2.2603286290253
"Co",1.60630561458646,2.68396958550467
"Co",-0.192136166969846,-0.0713611071373919
"Co",-0.828112122261618,-0.96439861334445
"Co",0.184834744240743,0.307979745550341
"Co",-0.241695515679663,-0.414732889191373
"Co",0.221120535799676,0.315134285201022
"Co",-0.904281366004548,-1.06000114615723
"Co",0.502427922593266,0.851091812186629
"Co",4.39561333210934,4.26373151354884
"Co",-1.72869282154667,-2.01403932495287
"Co",0.997901427674881,-0.897993699615123
"Co",-1.52926676699517,-1.78096528931184
"Co",12.9683992836626,12.3919636470882
"Co",-6.74055999862283,-9.22553411229503
"Co",-1.95299698697267,-2.10306984158473
"Co",7.63885785716034,7.5632854470419
"Co",-0.842821089996733,-0.561705890225795
"Co",3.37970073703813,3.31983952664202
"Co",-2.19412193598608,-1.81474114410887
"Co",-0.237372190979766,-1.63801601656485
"Co",-1.67208326722066,-0.569912321284553
"Co",-1.11813382417207,-1.40195111863669
"Co",-0.371793519464565,-0.482990213728378
"Co",-0.313391273073665,-0.55431687711584
"Co",-0.786857838007759,-0.302767421770075
"Co",-1.85448161518185,-1.75885548778333
"Co",-0.104532405389328,-0.342925930932534
"Co",-0.791680759490559,-1.22622166302829
"Co",2.53788342606157,1.88747785432993
"Co",0.0890536926834606,0.340643833479728
"Co",-2.16824659985673,-2.16737596293953
"Co",0.479023093799899,1.40556229431871
"Co",2.22911298445053,2.2824694591715
"Co",-2.15995219627749,-1.79474173470756
"Co",-4.20438525389086,-3.46711108335537
"Co",0.357992825361508,0.0603625343115297
"Co",-0.403618976464838,-0.0614299855404532
"Co",-0.622438053938554,-0.328328867150093
"Co",0.507301662666057,-0.150634739470485
