"GC_Induscale","GC_IT","GC_Income","GC_Sexrat","GC_Houseown","GC_Indemp","GC_Indcom","GC_Hiedu"
0.925452214494268,0.738965918505481,0.892812003188622,0.75628987389665,0.884483904470511,0.901308757579399,0.921846682231521,0.850590129342043
0.82757920242903,0.850370991767401,0.946679807200119,0.454810236130298,0.826018488862395,0.844548457587393,0.869703995189601,0.826468898132108
0.938290335619809,0.812514234228629,0.940152801790893,0.729436630131148,0.813867836231773,0.885450039145113,0.930925783494875,0.872154598954476
0.823579725223028,0.887776030441984,0.938041911325968,0.419719145381663,0.797716235594252,0.800318454954462,0.860182868054131,0.87009610882124
0.913973943912456,0.877555179878932,0.90767002315416,0.834165904402673,0.74548998559988,0.93589577385472,0.853300222416095,0.591809612092648
0.918803003969048,0.870159463533232,0.879753629363536,0.809082224486867,0.785412499018053,0.934480159267939,0.872569509795965,0.557707308412137
0.950530513102048,0.840979663092096,0.693249778903263,0.760627747955659,0.738317333880849,0.929600624255503,0.867862704087625,0.355651740830976
0.93642973653487,0.822206560636449,0.617812370883474,0.810762346139852,0.761665984204629,0.925074811077666,0.873835244625903,0.253359772144698
0.999197402703616,0.845933457923285,0.717446038005031,0.793749483569164,0.747304341215071,0.941076407467687,0.860273960340777,0.400981016358669
0.81807224843784,0.89757978713268,0.943340302361834,0.509457388838716,0.896436098642563,0.839381182461484,0.613272624285322,0.891065833653997
0.916590928159131,0.89785867964248,0.961158011737424,0.761687717716368,0.880092290248614,0.907421838712695,0.806168829594065,0.816740252450339
0.9104099504423,0.892989475538278,0.946927965710062,0.66424427764814,0.89354702962197,0.899728890432334,0.809931631083493,0.871329448821376
0.867539031479351,0.898491380353731,0.963640476946401,0.833566119817752,0.861976531213386,0.912016467005167,0.890794405921834,0.795059756109798
0.945641457437802,0.85878602772753,0.998603742347806,0.94184662620265,0.850502943985179,0.919291114023801,0.877507795864351,0.69586974378361
0.941618087367175,0.833245231763028,0.783295928099017,0.804132703034028,0.728266140779389,0.946409736773451,0.802565404871084,0.273471747483855
0.908442074141453,0.870897722348308,0.920510067572857,0.767692618433597,0.857256645517577,0.909956871433322,0.820265716095276,0.660796591467836
0.937938454231892,0.724743993171668,0.164036371089348,0.62336725815317,0.908158992450387,0.917851919077216,0.91900510016556,0.0897613374103099
0.928436322060713,0.636845687725307,0.636844160361346,0.692552958623199,0.837340615240272,0.929419286354318,0.94680120542466,0.316817596264176
0.931053370281006,0.697720274688713,0.464853482649065,0.658117764257384,0.884165009898011,0.915491754993322,0.928684080487696,0.166041298398449
0.94492706318052,0.773563487090163,0,0.642693902096568,0.892553047676547,0.913653158730073,0.919928246293686,0.238489490145672
0.940969461478629,0.821658188913267,0.580267946037685,0.685376820086626,0.894292141406941,0.944367375946242,1,0.65725073172607
0.940969461478629,0.820807065734128,0.818858023512496,0.665986563632509,0.886256660316595,0.933249593291723,0.880951388046424,0.787919432073943
0.940969461478629,0.813998080301017,0.667522654489968,0.675681691859567,0.888460484244327,0.933665310955699,0.93520531276485,0.696658752465905
0.933049890147257,0.869795520509495,0.9614708255257,0.747903472009811,0.836500555771152,0.901648789171519,0.94017707023736,0.866293689724497
0.937455360168989,0.883111914288138,0.960274029174297,0.762495612854614,0.865420567042038,0.870705334465757,0.91030409857512,0.890611869179343
0.93332196766809,0.876689417947168,0.960104798625885,0.777407601083255,0.865900875693955,0.889650519356166,0.934041444786984,0.88509254997609
0.921880462258009,0.902450097150703,0.957803427385579,0.806328216621172,0.872491811201016,0.923816873975035,0.922213524108272,0.916054220895378
0.915821882595533,0.885998558628232,0.954154191124525,0.671230405224855,0.847857889354477,0.857264206664356,0.921392663373333,0.888977541038317
0.922163552549068,0.830481507580309,0.952164541524323,0.778336433126374,0.867820537189454,0.910213123589339,0.922065163539576,0.939954608743341
0.852837793569014,0.899939298193171,0.935034255094013,0.491023163644429,0.841485979886216,0.772436824625407,0.89630208837372,0.816327960993623
0.763108963286051,0.876520922929787,0.957851997974126,0.448585958010005,0.849535346006044,0.902799200707527,0.766467301849412,0.779866585065481
0.887042456445224,0.780091677960485,0.888178376595422,0.57673169225506,0.866380664325853,0.923568523959848,0.927989167598876,0.49542570404573
0.655468933552047,0.892109187439413,0.919629680800143,0,0.832476586427707,0.791073598558074,0.640270084893136,0.879796006593354
0.789191551556133,0.857716394524868,0.950372434567186,0.336634045150189,0.850038590387168,0.882694212345871,0.829576290578008,0.766347458857582
0.936181309394544,0.68721866752066,0.694777157727914,0.704086943033874,0.880881021769418,0.923874275317404,0.941076399227005,0.251356413212183
0.945214561825098,0.707916126439814,0.445590587485878,0.671342328773279,0.888491589482303,0.913956106138215,0.926330433262674,0.121112023327809
0.940345992462413,0.883973244279753,0.954515603181926,0.65267265943881,0.844458181484748,0.814487047450155,0.870809589089519,0.859536291513966
0.797087234463545,0.892562480375704,0.928519081989533,0.415877015012166,0.861278847826052,0.753883283661747,0.695328913159379,0.845733469570003
0.924343449851868,0.896833137397556,0.955057231009329,0.629206573784014,0.882327786069405,0.777415830774972,0.717687339506204,0.885083388643155
0.947380152171903,0.866028171009685,0.920385706530195,0.733852461221918,0.871336899331488,0.913005039224399,0.895998363498326,0.864681371571791
0.940781754302727,0.888435722685662,0.950606988072178,0.762015385558833,0.897791639229879,0.849464084320359,0.815501333285081,0.900580094355689
