"coef_GC_Income","coef_GC_Indemp","model"
-0.0216348860781504,-0.101169904746288,"MLR"
-0.079941692711452,-0.317658062150294,"MLR"
-0.0716377136591724,-0.195586245799975,"MLR"
-0.0203668318936117,-0.070621759021137,"MLR"
-0.0205233804025734,-0.1008617526215,"MLR"
-0.0244005405589791,-0.140955320471893,"MLR"
-0.0337970640050243,-0.174490315415141,"MLR"
-0.182860098772724,-0.204728236905085,"MLR"
-0.170570308978947,-0.200696358169515,"MLR"
-0.212961661250217,-0.19308039642232,"MLR"
-0.177813872871393,-0.204995738767714,"MLR"
-0.169944177345639,-0.199136905558139,"MLR"
-0.201992113641518,-0.19376066436231,"MLR"
-0.236419394825796,-0.17359416314183,"MLR"
-0.18545789272563,-0.202499627530483,"MLR"
-0.203133778958626,-0.19781423672808,"MLR"
-0.19548023422593,-0.20188495643455,"MLR"
-0.220609550270733,-0.21184423557733,"MLR"
-0.16802170742959,-0.33541037877614,"MLR"
-0.198955536371704,-0.271584866204953,"MLR"
-0.212993298315905,-0.228183379877846,"MLR"
-0.161607922241131,-0.224642837037706,"MLR"
-0.250793709234175,-0.145867965226442,"MLR"
-0.238272055634346,-0.149327648112507,"MLR"
-0.224595189086532,-0.17577986498981,"MLR"
-0.248987614360685,-0.147949356172807,"MLR"
-0.241124583651495,-0.157537908374393,"MLR"
-0.0204649857102705,-0.050372605583826,"MLR"
-0.0201297163863763,-0.0554334072466206,"MLR"
-0.0203611804453692,-0.0501773757595619,"MLR"
-0.201288317594812,-0.311173434069465,"MLR"
-0.199572112743261,-0.308576657386477,"MLR"
-0.148388927485235,-0.378902721301916,"MLR"
-0.205358371401967,-0.288350189491038,"MLR"
-0.218258962554849,-0.276123175027758,"MLR"
-0.205236463483934,-0.281349102165583,"MLR"
-0.216267298792694,-0.253323266681745,"MLR"
-0.217200530408382,-0.243495087355845,"MLR"
-0.021374408710366,-0.0237087630245535,"MLR"
-0.0216823059519452,-0.0216209492443429,"MLR"
-0.0235021846776281,-0.0264798081677508,"MLR"
-0.171243138382571,-0.351672976255014,"MLR"
-0.180786902089315,-0.342286632608235,"MLR"
-0.163170354263082,-0.355849771967655,"MLR"
-0.147732119054853,-0.361115193560202,"MLR"
-0.164818652691536,-0.361415670468199,"MLR"
-0.155627824350788,-0.361841340684629,"MLR"
-0.137053633820601,-0.364098174895093,"MLR"
-0.125608795240823,-0.349655063778264,"MLR"
-0.0216108064415679,-0.03565105607251,"MLR"
-0.0213504969920854,-0.0379344878359876,"MLR"
-0.0683261778050739,-0.2861138597045,"MLR"
-0.0609149660049876,-0.291725986368344,"MLR"
-0.11298886906335,-0.367010508216633,"MLR"
-0.0904966124705868,-0.326568388960192,"MLR"
-0.0934012702611306,-0.344451264618046,"MLR"
-0.0277185275987078,-0.0125099941700055,"MLR"
-0.0275429601057871,-0.0121369836556148,"MLR"
-0.0276784664676363,-0.0124172776263687,"MLR"
-0.0277402550800457,-0.0125020810180576,"MLR"
-0.027726829915295,-0.012504401275043,"MLR"
-0.0277583588219566,-0.0125750927441807,"MLR"
-0.0276778187127111,-0.0124413585420184,"MLR"
-0.0279014741802037,-0.0130206186689067,"MLR"
-0.0279534782773683,-0.0129148404173123,"MLR"
-0.027786987384503,-0.0126139662572557,"MLR"
-0.027875149339864,-0.0127843133261944,"MLR"
-0.0278278021100753,-0.0126277185642718,"MLR"
-0.0276881578889946,-0.0124571631750655,"MLR"
-0.0276502470002236,-0.0123753237760103,"MLR"
-0.0276164468654782,-0.0123304806240733,"MLR"
-0.0277201437343492,-0.0121867694575169,"MLR"
-0.0277762336783997,-0.0126496110067718,"MLR"
-0.0278320809660962,-0.0127557670392535,"MLR"
-0.027715248991171,-0.01252963784577,"MLR"
-0.0279373675000556,-0.0131092893139009,"MLR"
-0.028043848225807,-0.0143579005449809,"MLR"
-0.0274189130069229,-0.0155074040065145,"MLR"
-0.0273827744578295,-0.0134610708187826,"MLR"
-0.021117861181909,-0.00692593511757338,"MLR"
-0.0236195430408119,-0.0151629252018634,"MLR"
-0.0279773812889819,-0.012573190358367,"MLR"
-0.0208060903402938,-0.00639285788253288,"MLR"
-0.0268168141440319,-0.010732173065928,"MLR"
-0.0175874055369572,0.0014363240538687,"MLR"
-0.0173401167618113,0.00169608714007524,"MLR"
-0.0175181768495247,0.00157926218994449,"MLR"
-0.0172484968315154,0.00174756249781985,"MLR"
-0.017142721039519,0.00180539269570921,"MLR"
-0.0171243421871611,0.00182457373498297,"MLR"
-0.0171034511232789,0.00184588730991904,"MLR"
-0.0170368834671194,0.00192646830261183,"MLR"
-0.0170438865876604,0.00189945707971303,"MLR"
-0.0171127037078359,0.00182100029144725,"MLR"
-0.0171205614255716,0.0018228646545231,"MLR"
-0.017084344678515,0.00183619928633281,"MLR"
-0.0171079427562358,0.00187077761185727,"MLR"
-0.0171083614022401,0.00184629213895399,"MLR"
-0.0171273809842829,0.00183168597100124,"MLR"
-0.0171180014769294,0.00184685743350475,"MLR"
-0.0170839567346642,0.00188252904305648,"MLR"
-0.0171614366985115,0.0018251388695831,"MLR"
-0.0171296026907437,0.00182465689728791,"MLR"
-0.0171611150766428,0.00180058559861324,"MLR"
-0.0171603086834153,0.0017936119969669,"MLR"
-0.0171794418948774,0.00178908714889324,"MLR"
-0.01714681812567,0.00180898147067181,"MLR"
-0.0172082928473936,0.00176692280683538,"MLR"
-0.0172110720528933,0.00197401063365163,"MLR"
-0.0164914236955465,0.00240631983169662,"MLR"
-0.0168398050013807,0.00224873995822936,"MLR"
-0.0170035542855729,-0.00238482980830268,"MLR"
-0.0108978608564189,0.00371341632640306,"MLR"
-0.0133141773478996,0.00414591012545949,"MLR"
-0.0163570570803316,0.00260146997892772,"MLR"
-0.0154139699494631,0.00290039605804568,"MLR"
-0.0120552581005395,0.00382680056447987,"MLR"
-0.0151601564175757,0.00291125068952995,"MLR"
-0.0393692017222471,-0.0110086402164828,"MLR"
-0.0382626790289673,-0.0115483549685776,"MLR"
-0.0393344658357139,-0.0109363158555634,"MLR"
-0.0384067883744636,-0.0113124219265186,"MLR"
-0.0385206853147306,-0.0113355383413083,"MLR"
-0.0378751724701413,-0.0119221994962167,"MLR"
-0.0476851378165572,-0.0086955926702541,"MLR"
-0.0496982161961419,-0.00736520613884135,"MLR"
-0.0441893912526495,-0.0102671597271296,"MLR"
-0.0419836805202912,-0.00957130876770181,"MLR"
-0.0384910944216956,-0.0110416600723066,"MLR"
-0.0386043251933076,-0.0121098719377854,"MLR"
-0.0538883109124967,-0.00536445980951501,"MLR"
-0.0523852374826614,-0.00640721946104479,"MLR"
-0.0494430074925881,-0.0060976159770046,"MLR"
-0.0193783883854774,-0.00736128539552978,"MLR"
-0.0193872220589608,-0.00738917260843161,"MLR"
-0.0194333995454847,-0.00750378075805733,"MLR"
-0.0193941199975776,-0.00742046564142393,"MLR"
-0.0194232477532171,-0.00857990316982846,"MLR"
-0.0201301150447806,-0.0111718234195983,"MLR"
-0.0195416080050381,-0.00800302677965843,"MLR"
-0.0200265913064879,-0.0106053633690511,"MLR"
-0.0196104852607666,-0.00859336249005748,"MLR"
-0.0392714533366342,-0.103581370089516,"MLR"
-0.0381705853757433,-0.11703310525778,"MLR"
-0.0384817012317444,-0.117487419562298,"MLR"
