"Lon","Lat","Elevation"
118.4048461,-25.31291988,502.4467539
118.4093506,-25.31291988,500.897057
118.4138551,-25.31291988,499.0575502
118.4183596,-25.31291988,495.394092
118.4228641,-25.31291988,493.1442931
118.4273686,-25.31291988,491.3778627
118.4318731,-25.31291988,490.0839052
118.4363776,-25.31291988,489.0860908
118.4408821,-25.31291988,487.9788601
118.4453867,-25.31291988,486.4784073
118.4498912,-25.31291988,484.8008886
118.4543957,-25.31291988,482.5970815
118.4589002,-25.31291988,482.0683232
118.4634047,-25.31291988,482.2095154
118.4679092,-25.31291988,482.3004601
118.4724137,-25.31291988,482.8585466
118.4769182,-25.31291988,483.1996583
118.4814227,-25.31291988,483.1652
118.4859272,-25.31291988,483.4285819
118.4904317,-25.31291988,484.034559
118.6120533,-25.31291988,498.7384642
118.6165578,-25.31291988,499.0130616
118.6210623,-25.31291988,499.5076438
118.6480894,-25.31291988,499.1431204
118.6525939,-25.31291988,500.1014711
118.6570984,-25.31291988,500.8236443
118.6616029,-25.31291988,502.7842674
118.6661074,-25.31291988,505.2154715
118.6706119,-25.31291988,506.8168662
118.6751164,-25.31291988,507.0306898
118.6796209,-25.31291988,508.8628923
118.6841254,-25.31291988,513.2537056
118.6886299,-25.31291988,517.8103829
118.6931344,-25.31291988,516.7543092
118.6976389,-25.31291988,514.3602996
118.7021434,-25.31291988,515.0707928
118.7066479,-25.31291988,517.8909689
118.7111524,-25.31291988,516.2897526
118.7156569,-25.31291988,514.9558675
118.7201614,-25.31291988,509.7588501
118.7246659,-25.31291988,509.1568651
118.7291704,-25.31291988,507.8721103
118.7336749,-25.31291988,506.7613442
118.7381794,-25.31291988,505.3644398
118.7426839,-25.31291988,503.6656975
118.7471885,-25.31291988,501.8300951
118.751693,-25.31291988,500.4063361
118.7561975,-25.31291988,498.7759195
118.760702,-25.31291988,498.4921816
118.7652065,-25.31291988,498.9460995
118.769711,-25.31291988,499.1158578
118.7742155,-25.31291988,498.9052529
118.77872,-25.31291988,499.1499645
118.7832245,-25.31291988,500.2729104
118.787729,-25.31291988,501.3135187
118.7922335,-25.31291988,502.01483
118.796738,-25.31291988,506.4495049
118.8012425,-25.31291988,514.9638276
118.805747,-25.31291988,525.8072656
118.8102515,-25.31291988,520.4821521
118.814756,-25.31291988,512.7782183
118.8192605,-25.31291988,509.4071668
118.823765,-25.31291988,506.6256185
118.8282695,-25.31291988,506.030293
118.832774,-25.31291988,506.0065588
118.8372785,-25.31291988,506.1481017
118.841783,-25.31291988,506.1490643
118.8462876,-25.31291988,506.3489308
118.8507921,-25.31291988,506.2014786
118.8552966,-25.31291988,506.0335213
118.8598011,-25.31291988,506.048778
118.8643056,-25.31291988,506.0714173
118.8688101,-25.31291988,506.0780418
118.8733146,-25.31291988,506.8724406
118.8778191,-25.31291988,508.2358639
118.8823236,-25.31291988,509.1759203
118.8868281,-25.31291988,510.2374662
118.8913326,-25.31291988,510.6475912
118.8958371,-25.31291988,510.9093853
118.9003416,-25.31291988,511.6088692
118.9048461,-25.31291988,512.5941446
118.9093506,-25.31291988,512.7264194
118.9138551,-25.31291988,513.2714815
118.9183596,-25.31291988,514.0846536
118.9228641,-25.31291988,515.481296
118.9273686,-25.31291988,516.8388629
118.9318731,-25.31291988,517.8125208
118.9363776,-25.31291988,518.5682988
118.9408821,-25.31291988,519.4111862
118.9453867,-25.31291988,520.0940073
118.9498912,-25.31291988,520.7945449
118.9543957,-25.31291988,522.4497251
118.9589002,-25.31291988,525.6715543
118.9634047,-25.31291988,526.613349
118.9679092,-25.31291988,524.8420348
118.9724137,-25.31291988,523.4509203
118.9769182,-25.31291988,523.4812992
118.3823236,-25.30841537,497.7381506
118.3868281,-25.30841537,496.9343472
118.3913326,-25.30841537,498.3540802
118.3958371,-25.30841537,499.6778315
118.4003416,-25.30841537,499.5672777
118.4048461,-25.30841537,497.2392449
118.4093506,-25.30841537,494.913109
118.4138551,-25.30841537,493.455964
118.4183596,-25.30841537,491.9717917
118.4228641,-25.30841537,490.3516269
118.4273686,-25.30841537,489.2366934
118.4318731,-25.30841537,488.3459234
118.4363776,-25.30841537,487.6453204
118.4408821,-25.30841537,487.0098478
118.4453867,-25.30841537,485.5581772
118.4498912,-25.30841537,484.0835428
118.4543957,-25.30841537,482.3197018
118.4589002,-25.30841537,481.567023
118.4634047,-25.30841537,481.5146107
118.4679092,-25.30841537,481.5103932
118.4724137,-25.30841537,481.8991601
118.4769182,-25.30841537,482.0857908
118.4814227,-25.30841537,482.2666855
118.4859272,-25.30841537,482.6441862
118.4904317,-25.30841537,482.9265032
118.4949362,-25.30841537,483.2791017
118.4994407,-25.30841537,483.6909451
118.5039452,-25.30841537,483.9121886
118.5084497,-25.30841537,484.396436
118.5129542,-25.30841537,484.8175439
118.5174587,-25.30841537,485.1975272
118.5219632,-25.30841537,485.4323337
118.5264677,-25.30841537,485.9427533
118.5309722,-25.30841537,486.4777278
118.5354767,-25.30841537,486.4680763
118.5399812,-25.30841537,486.1765193
118.5444857,-25.30841537,486.1677006
118.5489903,-25.30841537,486.1920499
118.5534948,-25.30841537,488.1365324
118.5579993,-25.30841537,491.1648013
118.5625038,-25.30841537,495.6992172
118.5670083,-25.30841537,499.2466319
118.5715128,-25.30841537,504.8128422
118.5760173,-25.30841537,504.648509
