"SampleID","Lon","Lat","Cr_ppm","Cu_ppm"
124,117.9728699,-24.27919641,57,136
125,117.9732415,-24.81039614,37,37
126,117.9745338,-24.55179612,140,29
127,117.9749822,-24.83630665,300,60
128,117.9750321,-24.90928712,106,30
129,117.9755388,-24.69602611,46,17
130,117.9756299,-24.72702597,146,25
131,117.9761932,-24.51355616,33,15
132,117.9763394,-24.39600642,122,26
133,117.9764805,-24.76397589,173,43
134,117.976516,-24.41320631,21,18
135,117.9771532,-24.46132621,45,13
136,117.9796416,-25.02513759,189,32
137,117.9815023,-24.94906751,75,43
138,117.9924111,-25.06542764,273,40
139,117.9943199,-24.34944644,78,51
140,117.9980033,-24.56431609,132,28
141,118.0055527,-24.46215619,48,30
142,118.010372,-25.01068786,118,26
143,118.0191329,-24.57168607,65,60
144,118.0208199,-24.27583642,77,62
145,118.0208599,-24.34231642,144,55
146,118.0218916,-24.93085726,98,42
147,118.0242899,-24.31464642,182,54
148,118.0248664,-24.67909608,88,48
149,118.0262536,-24.60659604,43,23
150,118.028314,-24.42599623,41,16
151,118.0305279,-24.71458612,396,46
152,118.0309221,-24.50681613,70,46
153,118.0317447,-24.64419605,162,39
154,118.0325023,-24.54866609,90,66
155,118.0333414,-25.0775376,104,38
156,118.0335817,-24.96359766,92,34
157,118.0343614,-24.89494687,127,74
158,118.0352814,-24.87230679,151,67
159,118.0361706,-24.83091615,105,71
160,118.0380682,-24.74709605,296,38
161,118.0439299,-24.39127637,50,12
162,118.0458195,-24.78405563,47,18
163,118.0542321,-24.56139607,184,96
164,118.063863,-24.61491604,43,21
165,118.0647699,-24.31949637,79,76
166,118.0661799,-24.41040636,20,9
167,118.0709299,-24.39231634,121,33
168,118.0710799,-24.27792636,66,120
169,118.0714199,-24.83200599,64,84
170,118.0722662,-24.70732604,121,49
171,118.0724917,-24.96408807,43,28
172,118.0727923,-24.45469618,33,11
173,118.0731037,-24.64446603,57,26
174,118.0739109,-24.89135691,86,54
175,118.0742988,-24.75155527,165,44
176,118.0746415,-24.92945762,105,36
177,118.0755722,-25.01190858,129,45
178,118.0759503,-24.85928633,120,64
179,118.0760123,-25.04889851,167,44
180,118.0764898,-24.52878609,382,66
181,118.0767599,-24.34059635,94,51
182,118.0822846,-24.67763601,266,93
183,118.0838491,-24.78460546,69,23
184,118.085082,-24.48009615,94,52
185,118.0931437,-24.65804599,2,9
186,118.0959836,-24.65849598,47,21
187,118.0967935,-24.65387599,17,37
188,118.0968021,-25.07286846,122,46
189,118.1097098,-24.56437607,301,73
190,118.1097099,-24.27891633,35,190
191,118.1104299,-24.32740635,68,64
192,118.1105921,-24.60500602,64,26
193,118.1109698,-24.52336611,338,82
194,118.1117199,-24.38474634,29,9
195,118.1126228,-24.63902599,151,83
196,118.113372,-24.96594858,111,27
197,118.1136398,-24.42328632,129,31
198,118.1137039,-24.67756595,35,33
199,118.1139224,-24.45642618,33,22
200,118.1139715,-25.10114809,155,30
201,118.1144494,-24.82421579,244,41
202,118.1147688,-24.78627536,196,57
203,118.1148811,-24.92794743,110,36
204,118.1152806,-24.8918468,183,57
205,118.1167599,-24.34171635,85,70
206,118.1167999,-24.85618624,176,60
207,118.1179861,-24.72460504,109,64
208,118.1185384,-24.75259506,190,100
209,118.1196725,-25.00833905,127,41
210,118.1238011,-24.92846746,24.5,15
211,118.1362098,-24.42395632,36,18
212,118.1397883,-24.75728502,367,110
213,118.1459565,-24.72803491,135,62
214,118.1473998,-24.35196634,89,71
215,118.1483197,-24.64644618,30,16
216,118.1499097,-24.60416619,69,33
217,118.1506298,-24.56332609,420,58
218,118.1510498,-24.31612632,57,66
219,118.1513464,-24.45714622,61,36
220,118.152259,-24.81962567,225,67
221,118.1525924,-24.48570611,161,47
222,118.1534996,-24.8550162,108,59
223,118.1542809,-24.9274175,172,55
224,118.1548385,-24.78439523,127,71
225,118.1554924,-24.52803607,475,67
226,118.1556115,-24.96433842,188,60
227,118.1557303,-24.89182682,228,56
228,118.1562398,-24.37982633,56,14
229,118.1638496,-24.68600606,126,41
230,118.1647698,-24.33081633,117,107
231,118.1653198,-24.33713633,118,119
232,118.1658598,-24.34182633,109,128
233,118.1681598,-24.34569633,31,100
234,118.1798047,-24.71699591,71,76
235,118.1840298,-24.32776631,65,40
236,118.1846495,-24.67496603,220,41
237,118.1865798,-24.38285631,32,11
238,118.1866398,-24.45551629,39,21
239,118.1874383,-24.75630548,240,123
240,118.1900653,-24.51572616,262,62
241,118.1902986,-24.78375558,227,72
242,118.1911188,-24.82011566,373,69
243,118.1917297,-24.60495616,109,53
244,118.1925598,-24.4138663,70,21
245,118.1928394,-24.85427619,317,51
246,118.1929514,-24.96448829,107,55
247,118.1973098,-24.34390631,159,23
248,118.19739,-24.89061684,217,53
249,118.1977597,-24.56785621,106,51
250,118.2000997,-24.63710613,68,35
251,118.2037306,-24.92686738,108,50
252,118.2134997,-24.31382626,54,115
253,118.2142997,-24.31616627,113,111
254,118.2149798,-24.54560624,297,61
255,118.2173897,-24.31920627,43,50.5
256,118.2188798,-24.45823627,36,20
257,118.2212298,-24.39246629,35,12
258,118.2239483,-24.75276441,106,120
259,118.2249382,-24.7221443,87,84
260,118.2253988,-24.817685,274,51
261,118.2257397,-24.31360626,39,24
262,118.2259297,-24.61106615,277,63
263,118.2260497,-24.34936628,586,98
264,118.2278498,-24.56481624,44,39
265,118.2279596,-24.67732603,74,26
266,118.2288198,-24.49056626,213,138
267,118.2319698,-24.42321628,128,29
268,118.2328797,-24.88876613,194,57
269,118.2341205,-24.92866715,143,51
270,118.2347185,-24.78511458,119,62
271,118.2354812,-24.97153806,102,39
272,118.2359692,-24.85713552,153,57
273,118.2433497,-24.64496612,196,56
274,118.2501197,-24.35042626,688,67
275,118.2576598,-24.46496625,34,14
276,118.25912,-24.89502643,304,75
277,118.2641588,-24.83019491,267,55
278,118.2652781,-24.71247415,262,72
279,118.2655508,-24.9570675,109,56
280,118.2660096,-24.68734604,98,102
281,118.2667198,-24.50838623,170,60
282,118.2673196,-24.61171611,172,63
283,118.2678696,-24.32056623,84,30
284,118.2693996,-24.64381609,68,45
285,118.2701082,-24.75117419,87,55
286,118.2703597,-24.56791615,153,47
287,118.2740003,-24.92619685,359,55
288,118.2743597,-24.38266625,55,16
289,118.2748094,-24.85804565,111,33
290,118.2755197,-24.42234626,65,26
291,118.2759383,-24.78485436,197,72
292,118.2882796,-24.34207623,89,73
293,118.2973497,-24.53642618,108,67
294,118.3024796,-24.6012161,253,58
295,118.3040997,-24.38596623,50,14
296,118.3041381,-24.74702409,60,77
297,118.3069596,-24.64288608,63,60
298,118.3071796,-24.67891608,102,78
299,118.3081796,-24.71258598,344,70
300,118.3095182,-24.78400423,291,67
301,118.3095309,-25.01866713,235,45
302,118.3099397,-24.46596622,74,62
303,118.3100898,-24.80991622,75,68
304,118.3102396,-24.31455622,177,54
305,118.3111297,-24.56852613,553,90
306,118.3123197,-24.42777623,121,32
307,118.3123797,-24.50148621,84,36
308,118.3127101,-24.92548643,317,62
309,118.3130497,-24.89022598,335,58
310,118.3154294,-24.86577566,108,52
311,118.3156704,-24.96276684,152,53
312,118.3234008,-25.05225704,254,54
313,118.3298706,-25.02214679,237,32
314,118.3372693,-24.85465542,101,62
315,118.3372897,-24.71611612,247,65
316,118.3374206,-25.05347648,77,8
317,118.3413397,-24.48672619,204,61
318,118.3431497,-24.63362611,61,66
319,118.3443899,-24.8320663,75,66
320,118.3453196,-24.42133619,121,40
321,118.3464598,-24.59916619,144,53
322,118.3468799,-24.79062624,166,72
323,118.3469896,-24.34860619,155,61
324,118.3475696,-24.39105619,159,43
325,118.3479996,-24.3125662,378,68
326,118.3489097,-24.45469618,145,27
327,118.3493498,-24.57322621,139,91
328,118.3511598,-24.92900604,211,73
329,118.3515802,-25.0571965,378,34
330,118.3520995,-24.89059565,397,83
331,118.3521897,-24.52560617,59,89
332,118.3526299,-24.74955627,60,51
333,118.3532397,-24.69232609,121,99
334,118.3537,-24.9612563,149,48
335,118.3540002,-24.98958654,210,54
336,118.3619301,-25.00937654,118,47
337,118.3636697,-25.10025669,222,35
338,118.3696693,-25.14493693,296,47
339,118.3733597,-24.51048616,115,81
340,118.3755701,-24.71884612,301,69
341,118.3758796,-24.37541617,74,20
342,118.3777295,-24.34724617,255,26
343,118.3779002,-24.7921961,97,61
344,118.3794503,-24.74034605,74,95
345,118.3801898,-24.59979617,56,69
346,118.3834696,-24.41676616,40,27
347,118.3851597,-25.01573673,128,52
348,118.3873788,-25.19684724,359,33
349,118.3880295,-24.31537618,155,40
350,118.3887893,-25.06024688,104,71
351,118.3912491,-25.08463696,167,47
352,118.3922496,-24.83071635,120,59
353,118.3924496,-24.44746614,273,44
354,118.3933491,-24.8899367,41,77
355,118.3934092,-24.92395678,123,70
356,118.3937192,-24.96314684,175,62
357,118.3966897,-24.63585615,56,55
358,118.3971691,-24.85415662,187,82
359,118.4017482,-25.16046739,180,40
360,118.4027304,-24.68463592,189,69
361,118.4118904,-24.71399594,216,40
362,118.4131697,-24.59939616,74,71
363,118.4138482,-25.11442731,229,41
364,118.4153284,-25.09091722,180,43
365,118.4168298,-24.63466616,89,74
366,118.4172696,-24.46224613,121,66
367,118.4174397,-24.53577612,61,62
368,118.4207788,-25.04335711,166,58
369,118.4209396,-24.42133613,71,29
370,118.4211995,-24.37892614,40,15
371,118.4252602,-24.67462596,120,76
372,118.4262497,-24.56866616,228,68
373,118.4276696,-24.51085612,83,80
374,118.4279703,-24.741786,57,79
375,118.4283603,-24.7848461,34,60
376,118.4288488,-24.88914689,61,55
377,118.4288697,-24.81574634,354,64
378,118.4307187,-24.92453703,256,68
379,118.4322587,-24.96870713,231,59
380,118.4324291,-24.85230671,517,62
381,118.4372475,-25.1605876,218,49
382,118.4456881,-25.18793744,282,32
383,118.4539795,-24.42060611,85,28
384,118.4539895,-24.37606612,49,16
385,118.454288,-25.0304074,279,53
386,118.4551297,-24.63213615,65,48
387,118.4596998,-24.71487615,133,68
388,118.4602173,-25.17037774,277,27
389,118.4609296,-24.50884609,39,51
390,118.4612199,-24.76137618,237,68
391,118.4612799,-24.78671624,85,55
392,118.4616702,-24.89441681,297,69
393,118.4632196,-24.4520461,127,70
394,118.4656586,-25.19643734,162,40
395,118.4700674,-25.13469776,304,47
396,118.4700997,-24.67674613,103,63
397,118.4701397,-24.59194612,198,61
398,118.4710381,-25.04685747,278,68
399,118.4715301,-24.85395669,124,58
400,118.4732691,-24.96728716,367,79
401,118.47547,-24.82280637,289,69
402,118.4805497,-24.56813611,88,52
403,118.4816175,-25.10512776,184,50
404,118.4840303,-24.92901698,385,89
405,118.4884273,-25.13881785,192,44
406,118.490188,-25.05791761,280,46
407,118.4907297,-24.64361612,131,34
408,118.4914598,-24.74342617,110,60
409,118.4924895,-24.4271561,124,63
410,118.4958076,-25.18477775,267,31
411,118.4958496,-24.51769608,299,37
412,118.4964302,-24.88405688,224,62
413,118.5059774,-25.13677791,168,39
414,118.5069299,-24.8324264,384,65
415,118.5089202,-24.91678695,328,77
416,118.5106801,-24.90357687,379,60
417,118.5111499,-24.78669629,386,58
418,118.5144096,-24.4506561,259,74
419,118.5188098,-24.72899616,296,62
420,118.5189396,-24.51999609,132,62
421,118.5190076,-25.09145787,179,34
422,118.5216975,-25.13631794,190,42
423,118.5250799,-24.8746466,153,56
424,118.5271196,-24.55905608,316,71
425,118.5289198,-24.75693621,239,58
426,118.5290586,-24.95221728,143,67
427,118.5292497,-24.61969608,151,26
428,118.5298578,-25.17186784,309,45
429,118.5319578,-25.08451783,197,57
430,118.5322396,-24.49495609,114,64
431,118.5347397,-24.66045612,295,58
432,118.5378479,-25.0678078,171,52
433,118.5404097,-24.69072614,225,97
434,118.543428,-25.02912735,182,41
435,118.5446897,-24.63312608,274,36
436,118.5491795,-25.19755759,214,45
437,118.5501696,-24.59723607,241,46
438,118.5510698,-24.77445623,195,75
439,118.5510898,-24.74504619,214,78
440,118.5529898,-24.72643615,266,49
441,118.5537676,-24.96291766,166,58
442,118.5576396,-24.55482607,500,62
443,118.5600399,-24.9176368,183,77
444,118.5603089,-25.07145768,226,43
445,118.5630599,-24.81684642,448,52
446,118.5640596,-24.52473607,307,61
447,118.56423,-24.89794669,297,57
448,118.5648392,-25.1446076,262,39
449,118.566128,-25.01886775,213,34
450,118.5661696,-24.64910607,49.5,4
451,118.5669396,-24.48949607,157,82
452,118.569119,-25.08331769,130,46
453,118.5781396,-24.67406608,328,125
454,118.5808399,-24.85042658,289,61
455,118.5832196,-24.64937606,55.5,18.5
456,118.5856196,-25.17128759,199,30
457,118.5864796,-24.48205606,288,49
458,118.5865796,-24.64564606,65.5,3
459,118.5868997,-25.20156743,244,33
460,118.5912796,-24.66251607,169,73
461,118.5912797,-24.74587618,168,31
462,118.5946097,-24.72434612,492,85
463,118.595941,-24.96372714,272,59
464,118.5973696,-24.52268605,256,60
465,118.5999899,-24.87031669,387,46
466,118.6004805,-25.0196974,252,45
467,118.6019297,-24.89020682,195,51
468,118.6051996,-24.63422604,396,83
469,118.6067096,-24.59804603,256,73
470,118.6067396,-25.14810762,256,48
471,118.6079904,-25.05419741,370,48
472,118.6103497,-25.2016675,444,50
473,118.6118498,-24.76935626,158,26
474,118.6122696,-25.16668759,229,32
475,118.6138095,-24.92391722,192,71
476,118.6151297,-25.08792762,145,34
477,118.6161409,-24.99542728,503,92
478,118.6188098,-24.81996647,172,44
479,118.6310696,-24.59435604,456,65
480,118.6342097,-24.72856613,392,75
481,118.6384896,-24.89500689,137,69
482,118.6396402,-25.08724752,167,46
483,118.6406099,-25.16631743,348,39
484,118.6423311,-25.05611731,232,38
485,118.6449214,-24.96921712,298,61
486,118.6486796,-24.7078361,266,105
487,118.6489798,-24.79379637,374,56
488,118.6519396,-24.67010604,180,58
489,118.6529496,-24.63254603,181,34
490,118.6532497,-24.87943682,102,118
491,118.6541098,-24.81859648,216,37
492,118.6547098,-24.84908665,274,42
493,118.6582297,-24.73080613,60,5
494,118.6585298,-24.92608705,190,53
495,118.6629501,-25.14855743,229,41
496,118.6652696,-24.60055604,161,9
497,118.6655802,-25.19981724,269,28
498,118.6663811,-25.03486737,162,33
499,118.6722596,-24.68001606,65,7
500,118.6767999,-24.92610703,482,62
501,118.6795298,-24.82692651,361,48
502,118.6796302,-25.15037739,89,57
503,118.6800314,-25.0379173,327,32
504,118.6826397,-24.77471625,153,90
505,118.68272,-24.90199691,196,74
506,118.6837717,-24.96274704,276,101
507,118.6840814,-25.08218727,169,34
508,118.685382,-25.05460712,326,35
509,118.6870703,-25.20255717,231,31
510,118.6877003,-25.18551724,198,35
511,118.6937999,-24.86442671,462,48
512,118.7106418,-25.08304716,207,35
513,118.7115497,-24.77370628,201,97
514,118.7148198,-24.80258641,86,87
515,118.7168818,-25.02325725,280,29
516,118.7186403,-25.23358695,539,32
517,118.7210027,-25.04864697,121,35
518,118.7259715,-24.96319707,573,54
519,118.7260304,-24.92261697,209,64
520,118.7313201,-24.88835684,191,65
521,118.7317203,-25.20549706,315,33
522,118.7379206,-25.15288723,321,33
523,118.7419006,-25.14027726,1,1
524,118.74229,-24.85176668,67,92
525,118.7475297,-24.77596631,328,89
526,118.7573334,-25.05890678,204,34
527,118.7620804,-24.89292685,326,56
528,118.7626918,-25.00799722,386,36
529,118.7637012,-24.96297724,484,57
530,118.76385,-24.8321766,222,64
531,118.7698411,-25.1130074,237,38
532,118.7713209,-24.925597,128,61
533,118.7763901,-24.84843668,295,63
534,118.7774803,-25.17242713,334,43
535,118.7795798,-24.81288648,127,61
536,118.7837213,-25.1290474,200,40
537,118.7865704,-25.18828706,687,61
538,118.7978807,-24.90544703,318,51
539,118.7982098,-24.79436641,201,92
540,118.800161,-24.93057712,268,75
541,118.8007214,-25.11381743,196,47
542,118.8018903,-25.00876761,603,40
543,118.8048605,-24.96637745,410,55
544,118.8077804,-25.16496713,569,74
545,118.8102704,-25.05529778,163,32
546,118.8117802,-24.85493675,173,97
547,118.8170704,-24.9968975,564,55
548,118.8219605,-25.20707698,317,34
549,118.8276007,-25.14856719,492,75
550,118.8356704,-24.85952682,352,74
551,118.8400299,-24.78293643,324,42
552,118.8404812,-24.94755713,368,51
553,118.8422108,-24.88799698,348,42
554,118.8463412,-24.92815702,540,60
555,118.8465799,-24.81538655,308,33
556,118.8466205,-25.06834763,314,39
557,118.8498314,-25.01066737,515,46
558,118.8523006,-25.20944701,186,32
559,118.8529708,-25.0836776,132,46
560,118.8542809,-25.13383731,495,38
561,118.8615407,-25.16331735,416,41
562,118.8697914,-24.98769726,663,74
563,118.8704803,-24.84607673,303,40
564,118.8768799,-24.78306643,215,30
565,118.8804,-24.82327657,453,48
566,118.8824215,-25.04712742,157,46
567,118.8860906,-24.87793686,207,29
568,118.8864712,-24.92913698,424,53
569,118.8880913,-24.96177712,543,39
570,118.8929609,-25.12695699,486,50
571,118.8936215,-25.03144736,419,88
572,118.8949408,-25.16592732,401,51
573,118.9052399,-24.80595647,172,50
574,118.9082009,-25.08742716,134,72
575,118.9119208,-25.18507725,1048,52
576,118.9121005,-24.89275685,514,43
577,118.9136513,-24.96169709,487,39
578,118.9147315,-25.04699736,208,61
579,118.9149098,-24.76521637,123,40
580,118.9172715,-25.03066732,186,72
581,118.9230001,-24.84211662,385,54
582,118.9255809,-25.13465723,446,34
583,118.9303414,-24.98792716,217,59
584,118.9306408,-25.15978732,754,61
585,118.931911,-24.92319691,315,37
586,118.9323598,-24.75002637,331,65
587,118.9432808,-25.19587721,780,51
588,118.9474609,-25.10102687,747,50
589,118.9590503,-24.88260675,571,44
590,118.95913,-24.85041662,188,57
591,118.9616509,-24.92046686,151,36
592,118.9633596,-24.7642864,192,47
593,118.9634398,-24.8189165,253,41
594,118.9649708,-25.14443716,366,31
595,118.9726708,-25.16246715,425,36
596,118.9781517,-25.07285708,355,52
597,118.9801908,-25.19778717,648,58
598,118.9935008,-24.92679678,215,52
599,118.9941509,-25.09490699,509,74
600,118.9943296,-24.81398647,365,53
601,118.9959294,-24.78143641,243,35
602,118.9963799,-24.85155656,397,86
603,118.9981103,-24.88766667,338,29
604,118.999701,-24.95948687,194,45
605,119.0134008,-24.93554681,70,176.699997
606,119.0278791,-24.77158641,832,60
607,119.0338701,-24.88689667,197,41
608,119.0346703,-24.90780673,235,34
609,119.0414608,-24.95869685,280,27
610,119.0498696,-24.83565651,364,45
611,119.06863,-24.89729666,76,18
612,119.0709294,-24.82989649,235,29
613,119.0717807,-24.96552687,122,63
614,119.0751395,-24.84782653,324,36
